date, pm25, pm10, o3, no2, so2, co
2020/7/2, 83, 49, 13, 9, 1, 7
2020/7/3, 99, 39, 10, 11, 11, 5
2020/7/4, 84, 55, 19, 12, 6, 6
2020/7/5, 110, 39, 15, 7, 2, 5
2020/7/6, 89, 48, 10, 13, 4, 9
2020/7/7, 94, 53, 18, 9, 3, 6
2020/7/8, 107, 46, 11, 6, 2, 4
2020/7/9, 79, 34, 13, 6, , 5
2020/7/10, 69, 27, 11, 9, 3, 6
2020/7/11, 67, 30, 14, 2, , 2
2020/7/12, 53, 30, 13, 4, 2, 2
2020/7/13, 68, 45, 14, 8, 1, 5
2020/7/14, 86, 26, 11, 3, , 2
2020/7/15, 55, 28, 7, 5, 3, 3
2020/7/16, 81, 37, 7, 10, 7, 7
2020/7/17, 73, 60, 5, 12, 11, 10
2020/7/18, 119, 68, 13, 13, 8, 9
2020/7/19, 128, 38, 12, 9, 5, 6
2020/7/20, 96, 37, 16, 11, 3, 7
2020/7/21, 105, 132, 20, 13, 7, 10
2020/7/22, 131, 63, 17, 13, 4, 7
2020/7/23, 119, 70, 11, 15, 7, 8
2020/7/24, 131, 48, 8, 11, 7, 8
2020/7/25, 105, 25, 5, 7, 1, 8
2020/7/26, 60, , , , , 
2020/6/2, 104, 52, 11, 14, 9, 21
2020/6/3, 105, 50, 9, 15, 7, 21
2020/6/4, 107, 57, 11, 14, 5, 22
2020/6/5, 116, 45, 8, 11, 7, 19
2020/6/6, 102, 60, 11, 13, 7, 20
2020/6/7, 114, 55, 14, 11, 8, 18
2020/6/8, 117, 67, 17, 16, 10, 22
2020/6/9, 134, 64, 14, 16, 7, 21
2020/6/10, 127, 40, 12, 10, 4, 18
2020/6/11, 78, 24, 11, 5, 2, 9
2020/6/12, 44, 11, 8, 1, , 1
2020/6/17, 93, 22, 3, 6, 4, 4
2020/6/18, 58, 28, 8, 6, 3, 4
2020/6/19, 67, 46, 6, 10, 4, 7
2020/6/20, 103, 54, 15, 10, 3, 9
2020/6/21, 109, 39, 12, 7, 1, 6
2020/6/22, 86, 40, 11, 10, 4, 6
2020/6/23, 87, 37, 14, 8, 1, 5
2020/6/24, 78, 51, 9, 15, 7, 7
2020/6/25, 96, 51, 13, 11, 4, 6
2020/6/26, 109, 51, 10, 11, 2, 10
2020/6/27, 105, 55, 13, 10, 2, 8
2020/6/28, 101, 35, 11, 5, 1, 4
2020/6/29, 84, 35, 12, 8, 2, 5
2020/6/30, 85, 43, 7, 11, 5, 6
2020/7/1, 88, 43, 12, 11, 2, 6
2020/5/2, 58, 27, 12, 7, 1, 7
2020/5/3, 81, 20, 9, 4, 1, 5
2020/5/4, 58, 22, 10, 6, 1, 7
2020/5/5, 63, 27, 11, 4, 1, 6
2020/5/6, 64, 23, 9, 6, 1, 7
2020/5/7, 59, 34, 10, 6, 2, 8
2020/5/8, 84, 36, 10, 6, 2, 9
2020/5/9, 87, 28, 6, 7, 3, 8
2020/5/10, 68, 26, 4, 6, 5, 8
2020/5/11, 68, 36, 10, 7, 2, 10
2020/5/12, 86, 31, 10, 7, 4, 10
2020/5/13, 77, 35, 12, 6, 2, 10
2020/5/14, 78, 33, 10, 7, 4, 9
2020/5/15, 80, 35, 10, 5, 3, 9
2020/5/16, 78, 25, 8, 6, 4, 9
2020/5/17, 61, 36, 12, 5, 2, 9
2020/5/18, 78, 30, 11, 6, 1, 11
2020/5/19, 76, 27, 7, 8, 1, 11
2020/5/20, 74, 42, 10, 9, 1, 12
2020/5/21, 98, 30, 9, 6, 1, 11
2020/5/22, 75, 37, 14, 6, 1, 11
2020/5/23, 87, 54, 13, 9, , 12
2020/5/24, 119, 53, 20, 7, 1, 11
2020/5/25, 127, 35, 14, 7, 1, 13
2020/5/26, 75, 20, 10, 3, 2, 13
2020/5/27, 45, 26, 10, 4, 2, 13
2020/5/28, 73, 36, 12, 5, 4, 19
2020/5/29, 81, 94, 1, 12, 5, 21
2020/5/30, 176, 41, 6, 9, 8, 18
2020/5/31, 94, 46, 12, 9, 4, 18
2020/6/1, 101, 50, 15, 12, 6, 21
2020/4/2, 68, 10, 4, 5, 4, 2
2020/4/3, 36, 14, 4, 6, 1, 3
2020/4/4, 38, 22, 4, 8, 1, 4
2020/4/5, 54, 25, 8, 5, 1, 3
2020/4/6, 71, 14, 8, 6, 1, 3
2020/4/7, 57, 11, 8, 6, 1, 2
2020/4/8, 40, 19, 8, 3, 1, 2
2020/4/9, 58, 12, 7, 3, 1, 3
2020/4/10, 48, 15, 9, 6, , 3
