date, pm25, pm10, o3, no2, so2, co
2020/7/2, 39, 36, 58, 18, 2, 7
2020/7/3, 65, 28, 44, 18, 2, 6
2020/7/4, 47, 30, 59, 18, 4, 7
2020/7/5, 62, 29, 61, 18, 3, 7
2020/7/6, 73, 21, 53, 24, 1, 10
2020/7/7, 57, 16, 34, 17, 2, 7
2020/7/8, 43, 13, 20, 17, 1, 7
2020/7/9, 37, 19, 44, 22, 2, 8
2020/7/10, 50, 31, 46, 27, 2, 10
2020/7/11, 61, 20, 37, 15, 1, 7
2020/7/12, 50, 19, 47, 14, 2, 7
2020/7/13, 45, 23, 57, 21, 3, 8
2020/7/14, 52, 29, 65, 23, 2, 9
2020/7/15, 53, 26, 56, 22, 1, 8
2020/7/16, 45, 39, 55, 20, 3, 8
2020/7/17, 63, 43, 50, 17, 4, 7
2020/7/18, 58, 33, 48, 18, 2, 7
2020/7/19, 60, 33, 49, 15, 4, 7
2020/7/20, 61, 35, 73, 25, 5, 8
2020/7/21, 69, 31, 56, 22, 2, 8
2020/7/22, 60, 12, 58, 21, 3, 8
2020/7/23, 43, , 63, 19, 2, 7
2020/6/2, 79, 38, 46, 15, 2, 
2020/6/3, 73, 22, 20, 11, 3, 
2020/6/4, 49, 31, 35, 13, 4, 
2020/6/5, 48, 30, 43, 15, 5, 
2020/6/6, 51, 29, 53, 14, 6, 
2020/6/7, 54, 24, 58, 10, 3, 
2020/6/8, 48, 24, 66, 16, 2, 
2020/6/9, 49, 31, 77, 25, 2, 9
2020/6/10, 67, 34, 47, 21, 1, 8
2020/6/11, 58, 28, 35, 13, 1, 6
2020/6/12, 63, 26, 32, 12, 1, 6
2020/6/13, 50, 28, 54, 16, 3, 5
2020/6/14, 47, 28, 63, 15, 5, 5
2020/6/15, 63, 43, 62, 19, 10, 7
2020/6/16, 89, 43, 81, 19, 3, 7
2020/6/17, 83, 43, 73, 20, 9, 7
2020/6/18, 83, 37, 51, 19, 8, 7
2020/6/19, 59, 36, 56, 17, 2, 6
2020/6/20, 56, 34, 51, 19, 9, 8
2020/6/21, 70, 31, 54, 16, 7, 7
2020/6/22, 68, 30, 43, 24, 4, 9
2020/6/23, 67, 28, 43, 23, 2, 9
2020/6/24, 60, 20, 37, 19, 1, 8
2020/6/25, 55, 15, 23, 15, 1, 7
2020/6/26, 40, 18, 46, 15, 1, 7
2020/6/27, 50, 39, 74, 17, 3, 7
2020/6/28, 79, 35, 57, 14, 4, 7
2020/6/29, 61, 33, 51, 20, 5, 8
2020/6/30, 68, 30, 65, 21, 2, 8
2020/7/1, 64, 21, 49, 17, 1, 7
2020/5/2, 58, 33, 68, 20, 3, 10
2020/5/3, 70, 33, 71, 15, 3, 9
2020/5/4, 61, 33, 59, 23, 3, 10
2020/5/5, 57, 36, 61, 18, 8, 10
2020/5/6, 60, 34, 71, 16, 2, 11
2020/5/7, 67, 32, 46, 22, 4, 12
2020/5/8, 81, 34, 62, 23, 2, 11
2020/5/9, 77, 40, 75, 16, 2, 
2020/5/10, 92, 23, 73, 13, 3, 
2020/5/11, 60, 25, 73, 18, 2, 
2020/5/12, 62, 37, 76, 22, 3, 
2020/5/13, 81, 40, 62, 23, 3, 
2020/5/14, 91, 44, 80, 26, 3, 15
2020/5/15, 99, 43, 74, 24, 3, 
2020/5/16, 91, 33, 51, 16, 2, 8
2020/5/17, 70, 36, 84, 15, 5, 
2020/5/18, 78, 47, 77, 19, 3, 
2020/5/19, 81, 37, 83, 22, 2, 
2020/5/20, 75, 51, 86, 26, 3, 
2020/5/21, 103, 57, 91, 26, 3, 
2020/5/22, 128, 51, 86, 30, 5, 
2020/5/23, 105, 43, 79, 25, 3, 12
2020/5/24, 84, 45, 77, 18, 3, 
2020/5/25, 90, 36, 87, 20, 3, 
2020/5/26, 69, 42, 90, 22, 4, 17
2020/5/27, 83, 61, 92, 23, 8, 15
2020/5/28, 125, 50, 80, 25, 4, 
2020/5/29, 98, 31, 50, 18, 3, 
2020/5/30, 69, 25, 45, 15, 3, 
2020/5/31, 55, 25, 60, 15, 5, 
2020/6/1, 56, 36, 54, 19, 2, 
2020/4/2, 82, 47, 70, , 9, 9
2020/4/3, 82, 38, 48, , 3, 10
2020/4/4, 71, 32, 74, 21, 2, 10
2020/4/5, 66, 30, 61, 15, 1, 9
2020/4/6, 59, 42, 52, 22, 5, 11
2020/4/7, 75, 39, 61, 20, 4, 10
2020/4/8, 69, 47, 74, 23, 4, 12
2020/4/9, 84, 41, 86, 23, 2, 11
2020/4/10, 79, 40, 78, 18, 3, 11
2020/4/11, 77, 41, 57, 16, 2, 11
2020/4/12, 71, 39, 41, 13, 1, 9
2020/4/13, 63, 45, 85, 22, 1, 11
2020/4/14, 84, 54, 54, 26, 2, 11
2020/4/15, 87, 52, 74, , 22, 11
2020/4/16, 93, 53, 91, 23, 4, 12
2020/4/17, 99, 53, 101, 25, 5, 12
2020/4/18, 93, 55, 99, 27, 5, 12
2020/4/19, 111, 54, 97, 17, 3, 12
2020/4/20, 111, 52, 88, 22, 4, 12
2020/4/21, 83, 63, 81, 22, 2, 12
2020/4/22, 83, 43, 83, 23, 2, 13
2020/4/23, 85, 38, 61, 27, 2, 12
2020/4/24, 70, 44, 70, 24, 7, 12
2020/4/25, 90, 37, 63, 24, 3, 12
2020/4/26, 74, 27, 56, 11, 2, 10
2020/4/27, 62, 27, 67, 17, 1, 9
2020/4/28, 55, 38, 56, 25, 4, 11
2020/4/29, 65, 41, 64, 25, 4, 11
2020/4/30, 70, 26, 68, 17, 3, 10
2020/5/1, 46, 25, 61, 20, 3, 11
2020/3/2, 85, 51, 23, 41, 6, 14
2020/3/3, 83, 48, 34, 22, 5, 10
2020/3/4, 51, 42, 33, 28, 4, 10
2020/3/5, 54, 58, 65, 31, 1, 12
2020/3/6, 71, 65, 36, 32, 1, 11
2020/3/7, 104, 63, 59, 32, 1, 10
2020/3/8, 113, 49, 71, 26, 1, 10
2020/3/9, 81, 46, 53, 28, 1, 10
2020/3/10, 75, 55, 73, 31, 11, 10
2020/3/11, 89, 52, 38, 36, 17, 13
2020/3/12, 92, 55, 66, 36, 4, 12
2020/3/13, 71, 48, 47, 31, 3, 13
2020/3/14, 70, 54, 65, 28, 7, 10
2020/3/15, 67, 32, 51, 21, 6, 9
2020/3/16, 57, 34, 35, 22, 15, 9
2020/3/17, 65, 37, 41, 34, 4, 13
2020/3/18, 73, , , , , 
2020/3/28, 70, 52, 71, 22, 3, 10
2020/3/29, 89, 62, 89, 20, 8, 8
2020/3/30, 92, 59, 80, , 13, 10
2020/3/31, 94, 57, 46, , 7, 9
2020/4/1, 70, 50, 73, , 4, 9
2020/2/2, 72, 43, 36, 31, 25, 
2020/2/3, 79, 32, 26, 16, 10, 
2020/2/4, 39, 21, 11, 19, 3, 
2020/2/5, 28, , , , , 
2020/2/9, 67, 33, 58, , 4, 12
2020/2/10, 57, 43, 53, , 5, 13
2020/2/11, 63, 53, 63, , 6, 13
2020/2/12, 80, 40, 33, , 4, 11
2020/2/13, 59, 43, 4, , 5, 15
2020/2/14, 76, , , , , 
2020/2/18, 54, 48, 53, 44, 11, 11
2020/2/19, 66, 57, 59, 45, 14, 11
