date, pm25, pm10, o3, no2, so2, co
2020/7/2, 43, 34, 15, 19, 1, 2
2020/7/3, 68, 26, 15, 20, , 2
2020/7/4, 60, 18, 13, 23, 1, 3
2020/7/5, 38, , 12, , , 
2020/7/8, 61, 40, , 19, , 3
2020/7/9, 59, 15, , 11, , 1
2020/7/10, 32, 19, 32, 13, 1, 1
2020/7/11, 41, 24, 44, 14, , 1
2020/7/12, 46, 29, 49, 14, , 2
2020/7/13, 54, 35, 15, 14, 1, 2
2020/7/14, 57, 30, , 11, 1, 2
2020/7/15, 43, 17, 5, 14, 1, 3
2020/7/16, 28, 10, 9, 9, , 1
2020/7/17, 30, 16, 18, 9, , 
2020/7/18, 36, 22, 10, 11, , 
2020/7/19, 44, 25, 28, 12, 1, 
2020/7/20, 31, 27, 28, 16, 1, 2
2020/7/21, 45, 19, 17, 15, 2, 2
2020/7/22, 38, 21, 25, 13, 1, 1
2020/7/23, 39, 18, 22, 10, , 1
2020/7/24, 33, 23, 8, , , 2
2020/7/25, 49, , , , , 
2020/6/2, 31, 18, 8, 14, , 3
2020/6/3, 37, 17, 5, 15, , 4
2020/6/4, 44, 13, 12, 17, , 2
2020/6/5, 30, 15, 19, 14, , 1
2020/6/6, 35, 20, 1, 16, , 2
2020/6/7, 53, 29, , 18, , 3
2020/6/8, 57, 46, , 22, , 4
2020/6/9, 77, 36, , 17, , 2
2020/6/10, 59, 30, , 25, , 3
2020/6/11, 58, 44, , 26, , 4
2020/6/12, 63, 39, , 17, , 3
2020/6/13, 66, 21, , 11, , 2
2020/6/14, 35, 23, , 13, , 2
2020/6/15, 42, 25, , 16, , 2
2020/6/16, 45, 34, , 18, , 2
2020/6/17, 56, 37, , 22, , 2
2020/6/18, 52, 58, , 34, , 6
2020/6/19, 96, 46, , 25, , 4
2020/6/20, 69, 43, , 20, , 3
2020/6/21, 68, 24, , 10, , 2
2020/6/22, 38, 28, , 17, , 2
2020/6/23, 42, 33, , 21, , 3
2020/6/24, 62, 30, , 17, , 2
2020/6/25, 55, 31, , 17, , 2
2020/6/26, 63, 28, , 15, , 2
2020/6/27, 46, 29, , 13, 1, 1
2020/6/28, 51, 29, , 15, , 2
2020/6/29, 53, 29, , 11, 1, 2
2020/6/30, 46, 23, , 11, , 1
2020/7/1, 34, 21, 19, 10, , 1
2020/5/2, 45, 28, 25, 15, , 1
2020/5/3, 40, 29, 32, 17, , 1
2020/5/4, 54, 39, 17, 27, , 2
2020/5/5, 55, 28, 20, 26, , 2
2020/5/6, 49, 23, 14, 20, , 2
2020/5/7, 53, 17, 24, 14, , 1
2020/5/8, 34, 22, 16, 11, , 1
2020/5/9, 38, 24, 21, 12, , 1
2020/5/10, 32, 25, 28, 8, , 1
2020/5/11, 36, 20, 33, 9, , 1
2020/5/12, 32, 26, 33, 12, , 1
2020/5/13, 50, 18, 20, 6, , 
2020/5/14, 34, 18, 24, 9, , 1
2020/5/15, 34, 19, 23, 11, , 1
2020/5/16, 34, 19, 26, 12, , 1
2020/5/17, 32, 15, 24, 7, , 1
2020/5/18, 26, 13, 19, 9, , 1
2020/5/19, 23, 11, 19, 6, , 1
2020/5/20, 22, , , , , 
2020/5/30, 65, 27, 16, 14, , 2
2020/5/31, 38, 16, 18, 10, , 1
2020/6/1, 30, 15, 10, 14, , 3
2020/4/4, 50, 24, 23, 10, , 1
2020/4/5, 50, 21, 21, 13, , 1
2020/4/6, 38, 110, 16, 12, , 1
2020/4/7, 30, 38, 16, 20, , 2
2020/4/8, 43, 42, 27, 16, , 2
2020/4/9, 70, 32, 26, 20, , 1
2020/4/10, 36, 32, 22, 12, , 1
2020/4/11, 37, 34, 21, 15, , 1
2020/4/12, 39, 28, 24, 15, , 1
2020/4/13, 29, 45, 33, 19, , 2
2020/4/14, 64, 39, 22, 17, , 1
2020/4/15, 68, 26, 20, 12, , 1
2020/4/16, 25, 5, 18, 10, , 1
2020/4/17, 10, 15, 18, 11, , 1
2020/4/18, 25, 15, 19, 11, , 1
2020/4/19, 23, 16, 17, 12, , 1
2020/4/20, 23, 47, 20, 17, , 2
2020/4/21, 53, 42, 26, 10, , 1
2020/4/22, 38, 38, 26, 11, , 1
2020/4/23, 48, 27, 28, 14, , 1
2020/4/24, 30, 28, 23, 21, , 2
2020/4/25, 41, 17, 21, 16, , 1
2020/4/26, 32, 30, 28, 16, , 1
2020/4/27, 37, 53, 26, 26, , 2
2020/4/28, 65, 25, 24, 15, , 1
2020/4/29, 38, 23, 27, 13, , 1
2020/4/30, 32, 28, 17, 14, , 1
2020/5/1, 39, 32, 25, 15, , 2
2020/3/2, 32, 17, 23, 23, , 2
2020/3/3, 43, 28, 7, 25, , 3
2020/3/4, 59, 50, 3, 24, , 5
2020/3/5, 86, 29, 16, 16, , 2
2020/3/6, 53, 29, 14, 16, , 2
2020/3/7, 55, 50, 11, 22, , 3
2020/3/8, 82, 49, 16, 18, , 2
2020/3/9, 74, 57, 15, 26, , 3
2020/3/10, 57, 29, 6, 25, , 4
2020/3/11, 47, , , , , 
2020/2/2, 59, 11, 11, 19, , 
2020/2/3, 42, 22, 19, 18, , 
2020/2/4, 17, 41, 20, 18, , 
2020/2/5, 17, 31, 23, 17, , 
2020/2/6, 33, 19, 21, 20, , 
2020/2/7, 15, 15, 21, 17, , 
2020/2/8, 35, 18, 17, 28, , 
2020/2/9, 43, 13, 2, 24, , 
2020/2/10, 46, , , 15, , 
2020/2/11, 18, , , 22, , 
2020/2/12, 39, , , 19, , 
2020/2/13, 48, , , 27, , 
2020/2/14, 64, , , 28, , 
2020/2/15, 61, , , 26, , 4
2020/2/16, 43, , , 17, , 2
2020/2/17, 34, , , 14, , 2
2020/2/18, 31, , , 20, , 3
2020/2/19, 52, , , 19, , 2
2020/2/20, 34, , , 24, 1, 3
2020/2/21, 51, , , 30, , 4
2020/2/22, 65, , , 22, , 3
2020/2/23, 52, , , 15, , 2
2020/2/24, 17, , 21, 16, , 2
2020/2/25, 33, 61, 24, 19, , 2
2020/2/26, 45, 47, 7, 29, , 4
2020/2/27, 54, 21, 3, 24, , 5
2020/2/28, 49, 30, 18, 23, , 3
2020/2/29, 45, 35, 22, 23, , 2
2020/3/1, 42, 13, 26, 22, , 2
2020/1/2, 34, 7, 15, 13, , 
2020/1/3, 15, 10, 18, 13, , 
2020/1/4, 16, 20, 13, 13, , 
2020/1/5, 46, 14, 21, 16, , 
2020/1/6, 39, 25, 20, 17, , 
2020/1/7, 29, 13, 14, 15, , 
2020/1/8, 21, 9, 17, 12, , 
2020/1/9, 24, 17, 11, 18, , 
2020/1/10, 35, 24, 19, 18, , 
2020/1/11, 28, 36, 6, 24, , 
2020/1/12, 58, 11, 14, 22, , 
2020/1/13, 28, 9, 16, 17, , 
2020/1/14, 23, 26, 21, 17, , 
2020/1/15, 32, 18, 13, 20, , 
2020/1/16, 31, 22, 16, 15, 1, 
2020/1/17, 62, 34, 12, 20, , 
2020/1/18, 55, 41, 18, 18, , 
2020/1/19, 44, 31, 16, 14, , 
2020/1/20, 51, 25, 14, 16, , 
2020/1/21, 31, 7, 20, 15, , 
2020/1/22, 9, 16, 25, 16, , 
2020/1/23, 12, 12, 25, 17, , 
2020/1/24, 27, 8, 16, 19, , 
2020/1/25, 14, 22, 22, 16, , 
2020/1/26, 15, 15, 25, , , 
2020/1/28, 70, 14, 12, 23, 1, 
2020/1/29, 53, 31, 4, 24, , 
2020/1/30, 78, 12, 10, 22, 1, 
2020/1/31, 73, 22, 9, 24, , 
2020/2/1, 64, 16, 3, 23, , 
2019/10/2, 40, 16, 13, , , 2
2019/10/3, 37, 19, 21, , , 2
2019/10/4, 45, 32, 11, , , 2
2019/10/5, 49, 23, 10, , , 3
2019/10/6, 35, 23, 10, , , 4
2019/10/7, 28, 19, 8, , , 3
2019/10/8, 18, 18, 12, , , 3
2019/10/9, 35, 15, 9, , , 2
2019/10/10, 32, 14, 4, , , 3
2019/10/11, 32, 14, 11, , , 2
2019/10/12, 31, 13, 13, , , 2
2019/10/13, 31, 12, 19, , , 2
2019/10/14, 26, 22, 13, , , 3
2019/10/15, 35, 29, 21, , , 3
2019/10/16, 43, 27, 10, , , 4
2019/10/17, 37, 35, 17, , , 3
2019/10/18, 57, 27, 13, , , 3
2019/10/19, 44, , , , , 
2019/10/26, 44, 29, 12, , , 3
2019/10/27, 53, 24, , , , 2
2019/10/28, 50, 30, , , , 3
2019/10/29, 44, 29, 7, 19, , 4
2019/10/30, 45, 13, 12, 13, , 4
2019/10/31, 26, 9, 17, 14, , 3
2019/11/1, 24, 12, 10, 16, , 3
2019/11/2, 24, 12, 13, 15, , 2
2019/11/3, 32, 17, 13, 15, , 2
2019/11/4, 54, 13, 10, 11, , 1
2019/11/5, 39, 21, 10, 16, , 2
2019/11/6, 51, 17, 11, 16, , 3
2019/11/7, 30, 30, 7, 14, , 6
2019/11/8, 55, 89, 2, 18, , 9
2019/11/9, 96, 40, 5, 14, , 4
2019/11/10, 70, 21, 6, 13, , 2
2019/11/11, 43, 32, 11, 16, , 2
2019/11/12, 59, 28, 11, 12, , 3
2019/11/13, 38, 42, 12, 17, , 3
2019/11/14, 43, 44, 4, 20, , 3
2019/11/15, 64, 43, 3, 18, , 3
2019/11/16, 62, 40, 3, 13, , 3
2019/11/17, 62, 48, 3, 13, , 3
2019/11/18, 75, 61, , 16, , 3
2019/11/19, 76, , , , , 
2019/11/21, 72, 45, 7, 19, , 4
2019/11/22, 63, 65, 3, 22, , 6
2019/11/23, 79, 66, 2, 24, , 6
2019/11/24, 83, 57, 2, 24, , 5
2019/11/25, 82, 52, 8, 24, , 4
2019/11/26, 65, 60, 7, 26, 1, 5
2019/11/27, 75, 41, 7, 19, , 4
2019/11/28, 60, 52, 2, 18, 1, 4
2019/11/29, 84, 33, 3, 13, , 2
2019/11/30, 77, 16, 4, 16, , 3
2019/12/1, 34, 28, 22, 14, , 3
2019/12/2, 28, 16, 14, 17, , 3
2019/12/3, 23, 21, 15, 17, , 3
2019/12/4, 50, 9, 15, 18, , 
2019/12/5, 22, 15, 9, 16, , 
2019/12/6, 25, 15, 11, 15, , 
2019/12/7, 35, 33, 10, 17, , 
2019/12/8, 64, 29, 13, 13, , 
2019/12/9, 65, 17, 17, 15, , 
2019/12/10, 33, 23, 7, 15, , 
2019/12/11, 56, 38, 6, 18, , 
2019/12/12, 64, 45, 5, 20, , 
2019/12/13, 62, 28, 6, 19, , 
2019/12/14, 51, 18, 14, 14, , 
2019/12/15, 45, 16, 6, 11, , 
2019/12/16, 45, 12, 10, 16, , 
2019/12/17, 30, 14, 4, 20, , 
2019/12/18, 29, 26, 7, 20, , 
2019/12/19, 47, 31, 18, 13, , 
2019/12/20, 42, 40, 13, 19, , 
2019/12/21, 34, 51, 3, 23, , 
2019/12/22, 54, 37, 2, 14, , 
2019/12/23, 75, 20, 5, 15, , 
2019/12/24, 60, 29, 2, 16, , 
