date, pm25, pm10, o3, no2, so2, co
1/1/2014, , ,17,6, ,4
1/2/2014,43, ,24,13, ,5
1/3/2014,32, ,26,16, ,5
1/4/2014,41, ,25,10, ,4
1/5/2014,38, ,25,8, ,4
1/6/2014,41, ,42,12, ,5
1/7/2014,52, ,45,16, ,5
1/8/2014,59, ,38,21, ,6
1/9/2014,57, ,32,20, ,7
1/10/2014,47, ,27,26, ,8
1/11/2014,43, ,21,24, ,12
1/12/2014,60, ,46,17, ,9
1/13/2014,48, ,19,22, ,9
1/14/2014,53, ,27,26, ,8
1/15/2014,63, ,28,24, ,7
1/16/2014,49, ,3,30, ,10
1/17/2014,47, ,23,18, ,8
1/18/2014,58, ,35,13, ,4
1/19/2014,50, ,33,9, ,3
1/20/2014,36, ,60,17, ,5
1/21/2014,64, ,34,19, ,5
1/22/2014,49, ,32,26, ,6
1/23/2014,48, ,26,28, ,10
1/24/2014,57, ,28,27, ,11
1/25/2014,58, ,43,9, ,5
1/26/2014,38, ,46,12, ,3
1/27/2014,64, ,65, , ,4
1/28/2014,77, ,44, , ,5
1/29/2014,69, ,54, , ,5
1/30/2014,62, ,65,24, ,5
1/31/2014,62, ,83,32, ,7
2/1/2014,77, ,75,30, ,7
2/2/2014,89, ,37,15, ,6
2/3/2014,73, ,39,17, ,5
2/4/2014,57, ,41,20, ,6
2/5/2014,58, ,37,25, ,6
2/6/2014,61, ,50,25, ,8
2/7/2014,47, ,72,25, ,8
2/8/2014,65, ,62,22, ,6
2/9/2014,62, ,44,13, ,4
2/10/2014,51, ,60,22, ,8
2/11/2014,67, ,49,23, ,6
2/12/2014,76, ,31,27, ,6
2/13/2014,62, ,43,30, ,7
2/14/2014,82, ,33,27, ,7
2/15/2014,59, ,16,19, ,5
2/16/2014,39, ,23,14, ,4
2/17/2014,32, ,21, , ,4
2/18/2014,32, ,14, , ,3
2/19/2014,23, ,22, , ,3
2/20/2014,37, ,5, , ,4
2/21/2014,37, , , , , 
2/28/2014, , ,13,26, ,8
3/1/2014, , ,19,18, ,5
3/2/2014, , ,27,14, ,6
3/3/2014, , ,26,9, ,3
3/4/2014, , ,24,11, ,3
3/5/2014, , ,4,19, ,6
3/6/2014, , ,13,20, ,7
3/7/2014, , ,26,21, ,5
3/8/2014, , ,18,20, ,4
3/9/2014, , ,18,14, ,3
3/10/2014, , ,16,23, ,6
3/11/2014, , ,18,25, ,5
3/12/2014, , ,9,33, ,6
3/13/2014, , ,18,20, ,4
3/14/2014, , ,24,27, ,6
3/15/2014, , ,30,22, ,5
3/16/2014, , ,31,23, ,5
3/17/2014, , ,24,29, ,7
3/18/2014, , ,24,40, ,6
3/19/2014, , ,28,38, ,7
3/20/2014, , ,19,30, ,5
3/21/2014, , ,13,21, ,4
3/22/2014, , ,12,14, ,2
3/23/2014, , ,12,7, ,1
3/24/2014, , ,10,13, ,1
3/25/2014, , ,20,16, ,2
3/26/2014, , ,16,13, ,3
3/27/2014, , ,19,13, ,3
3/28/2014, , ,24,16, ,5
