date, pm25, pm10, o3, so2, co
9/1/2014,52, , , , 
9/2/2014,36, , , , 
9/3/2014,31, , , , 
9/4/2014,27, , , , 
9/5/2014,32, , , , 
9/6/2014,43, , , , 
9/7/2014,33, , , , 
9/8/2014,29, , , , 
9/9/2014,44, , , , 
9/10/2014,45, , , , 
9/11/2014,29, , , , 
9/12/2014,38, , , , 
9/13/2014,25, , , , 
9/14/2014,33, , , , 
9/15/2014,39, , , , 
9/16/2014,56, , , , 
9/17/2014,53, , , , 
9/18/2014,53, , , , 
9/19/2014,55, , , , 
9/20/2014,52, , , , 
9/21/2014,47, , , , 
9/22/2014,39, , , , 
9/23/2014,44, , , , 
9/24/2014,35, , , , 
9/25/2014,33, , , , 
9/26/2014,32, , , , 
9/27/2014,37, , , , 
9/28/2014,30, , , , 
9/29/2014,26, , , , 
9/30/2014,31, , , , 
10/1/2014,37, , , , 
10/2/2014,42, , , , 
10/3/2014,34, , , , 
10/4/2014,42, , , , 
10/5/2014,33, , , , 
10/6/2014,31, , , , 
10/7/2014,43, , , , 
10/8/2014,37, , , , 
10/9/2014,40, , , , 
10/10/2014,34, , , , 
10/11/2014,35, , , , 
10/12/2014,31, , , , 
10/13/2014,28, , , , 
10/14/2014,31, , , , 
10/15/2014,35, , , , 
10/16/2014,29, , , , 
10/17/2014,29, , , , 
10/18/2014,37, , , , 
10/19/2014,48, , , , 
10/20/2014,38, , , , 
10/21/2014,39, , , , 
10/22/2014,33, , , , 
10/23/2014,47, , , , 
10/24/2014,34, , , , 
10/25/2014,31, , , , 
10/26/2014,26, , , , 
10/27/2014,34, , , , 
10/28/2014,39, , , , 
10/29/2014,33, , , , 
10/30/2014,35, , , , 
10/31/2014,42, , , , 
11/1/2014,31, , , , 
11/2/2014,31, , , , 
11/3/2014,31, , , , 
11/4/2014,39, , , , 
11/5/2014,34, , , , 
11/6/2014,42, , , , 
11/7/2014,40, , , , 
11/8/2014,45, , , , 
11/9/2014,42, , , , 
11/10/2014,35, , , , 
11/11/2014,29, , , , 
11/12/2014,34, , , , 
11/13/2014,49, , , , 
11/14/2014,43, , , , 
11/15/2014,51, , , , 
11/16/2014,52, , , , 
11/17/2014,33, , , , 
11/18/2014,27, , , , 
11/19/2014,28, , , , 
11/20/2014,30, , , , 
11/21/2014,39, , , , 
11/22/2014,33, , , , 
11/23/2014,38, , , , 
11/24/2014,37, , , , 
11/25/2014,41, , , , 
11/26/2014,37, , , , 
11/27/2014,27, , , , 
11/28/2014,27, , , , 
11/29/2014,34, , , , 
11/30/2014,35, , , , 
