date, pm25, pm10, o3, no2, so2, co
2020/7/2, 30, 19, 4, , , 8
2020/7/3, 28, 12, 4, , , 8
2020/7/4, 22, 15, 4, , , 8
2020/7/5, 20, 29, 4, , , 8
2020/7/6, 32, 34, 4, , , 8
2020/7/7, 39, 31, 4, , , 8
2020/7/8, 31, 33, 4, , , 8
2020/7/9, 33, 30, 4, , , 8
2020/7/10, 35, 26, 4, , , 8
2020/7/11, 32, 25, 4, , , 8
2020/7/12, 35, 19, 4, , , 9
2020/7/13, 29, 23, 4, , , 9
2020/7/14, 29, 20, 4, , , 10
2020/7/15, 29, 16, 4, , , 9
2020/7/16, 24, 14, 4, , , 9
2020/7/17, 22, 24, 4, , , 10
2020/7/18, 32, 27, 4, , , 9
2020/7/19, 39, 28, 4, , , 9
2020/7/20, 36, 28, 4, , , 9
2020/7/21, 35, 27, 4, , , 9
2020/7/22, 38, 24, 4, , , 9
2020/7/23, 35, 22, 4, , , 9
2020/7/24, 31, 27, 4, , , 10
2020/7/25, 38, 42, 4, , , 12
2020/7/26, 66, , , , , 
2020/6/2, 41, , , , , 
2020/6/7, 40, 23, 4, , 4, 8
2020/6/8, 36, 23, 4, , 4, 8
2020/6/9, 35, 21, 4, , 4, 8
2020/6/10, 37, 24, 4, , 4, 8
2020/6/11, 37, 24, 4, , 1, 8
2020/6/12, 35, 20, 4, , , 8
2020/6/13, 40, 17, 4, , , 8
2020/6/14, 32, 18, 4, , , 8
2020/6/15, 34, 23, 4, , , 8
2020/6/16, 30, 19, 4, , , 8
2020/6/17, 31, 16, 4, , , 9
2020/6/18, 49, 27, 4, , , 9
2020/6/19, 38, 40, 4, , , 9
2020/6/20, 54, 34, 4, , , 8
2020/6/21, 43, 33, 4, , , 8
2020/6/22, 38, 39, 4, , , 8
2020/6/23, 46, 26, 4, , , 9
2020/6/24, 39, 21, 4, , , 8
2020/6/25, 37, 28, 4, , , 8
2020/6/26, 43, 28, 4, , , 8
2020/6/27, 40, 40, 4, , , 8
2020/6/28, 49, 28, 4, , , 8
2020/6/29, 42, 20, 4, , , 8
2020/6/30, 24, 16, 4, , , 8
2020/7/1, 22, 19, 4, , , 9
2020/5/2, 105, 38, , , 34, 8
2020/5/3, 104, 44, , , 36, 8
2020/5/4, 101, 39, , , 37, 8
2020/5/5, 100, 44, , , 40, 7
2020/5/6, 96, 38, , , 41, 7
2020/5/7, 100, 43, , , 36, 8
2020/5/8, 111, 44, , , 35, 7
2020/5/9, 106, 51, , , 41, 7
2020/5/10, 104, 43, , , 45, 7
2020/5/11, 109, 44, , , 33, 9
2020/5/12, 97, 37, , , 38, 7
2020/5/13, 95, 40, , , 41, 7
2020/5/14, 103, 43, 4, , 17, 5
2020/5/15, 100, 60, 4, , 12, 5
2020/5/16, 116, 78, 4, , 10, 5
2020/5/17, 135, 64, 4, , 12, 5
2020/5/18, 117, 61, 3, 3, 12, 4
2020/5/19, 109, 68, 3, 3, 12, 4
2020/5/20, 121, 70, 3, 5, 13, 4
2020/5/21, 124, 74, 4, 6, 14, 4
2020/5/22, 136, 65, 4, 3, 13, 4
2020/5/23, 116, 68, 4, 2, 10, 4
2020/5/24, 116, 74, 4, 1, 10, 4
2020/5/25, 124, 64, 3, 5, 12, 4
2020/5/26, 116, 76, 3, 1, 12, 4
2020/5/27, 138, 72, 4, 1, 7, 4
2020/5/28, 90, 68, 4, 1, 10, 5
2020/5/29, 137, 19, 4, , , 6
2020/5/30, 26, 42, 4, , , 8
2020/5/31, 71, 38, 4, , , 10
2020/6/1, 55, 32, 4, , , 8
2020/4/2, 58, 46, 8, 3, 11, 8
2020/4/3, 60, 48, 6, 4, 12, 8
