date, pm25, pm10, o3, no2, so2, co
2020/7/2, 29, 21, 36, 8, , 3
2020/7/3, 34, 26, 37, 4, , 4
2020/7/4, 51, 32, 28, 5, , 5
2020/7/5, 72, 35, 24, 3, , 3
2020/7/6, 82, 15, 21, 2, , 1
2020/7/7, 32, 12, 21, 3, , 1
2020/7/8, 19, 16, 30, 4, , 2
2020/7/9, 27, 15, 36, 6, , 2
2020/7/10, 25, 16, 32, 7, , 3
2020/7/11, 30, 16, 38, 5, , 2
2020/7/12, 30, 15, 32, 7, , 3
2020/7/13, 33, 14, 37, 10, , 2
2020/7/14, 32, 18, 50, 8, , 3
2020/7/15, 38, 20, 35, 6, , 4
2020/7/16, 44, 21, 49, 6, , 2
2020/7/17, 40, 23, 38, 5, , 3
2020/7/18, 46, 20, 45, 5, , 3
2020/7/19, 49, 17, 36, 4, , 2
2020/7/20, 45, 21, 55, 10, , 4
2020/7/21, 49, 19, 38, 9, , 3
2020/7/22, 43, 19, 34, 4, , 2
2020/7/23, 32, 15, 21, 3, , 1
2020/7/24, 24, 13, 24, 4, , 1
2020/7/25, 21, 12, 25, 3, , 1
2020/7/26, 21, 13, 37, 3, , 2
2020/7/27, 23, 15, 42, 7, 2, 3
2020/7/28, 28, , , , , 
2020/6/2, 40, 19, 37, 6, , 2
2020/6/3, 45, 21, 38, 7, , 3
2020/6/4, 50, 17, 35, 3, , 2
2020/6/5, 43, 16, 19, 5, , 2
2020/6/6, 32, 16, 36, 4, , 2
2020/6/7, 33, 12, 17, 1, , 1
2020/6/8, 20, 12, 14, 1, , 1
2020/6/9, 27, 16, 17, 1, , 1
2020/6/10, 32, 14, 12, 1, , 1
2020/6/11, 24, 18, 40, 4, , 1
2020/6/12, 29, 16, 36, 6, , 2
2020/6/13, 31, 15, 41, 8, , 3
2020/6/14, 34, 19, 32, 6, , 3
2020/6/15, 46, 16, 31, 6, , 2
2020/6/16, 35, 7, 29, 2, , 1
2020/6/17, 12, 9, 27, 7, , 2
2020/6/18, 20, 13, 35, 8, , 3
2020/6/19, 31, 15, 42, 8, , 4
2020/6/20, 39, 18, 47, 9, , 4
2020/6/21, 52, 19, 33, 6, , 4
2020/6/22, 54, 17, 31, 5, , 2
2020/6/23, 46, 10, 23, 3, , 1
2020/6/24, 25, 11, 26, 5, , 1
2020/6/25, 23, 15, 22, 4, , 1
2020/6/26, 27, 52, 22, 4, , 1
2020/6/27, 73, 58, 15, 6, , 1
2020/6/28, 83, 23, 17, 3, , 2
2020/6/29, 39, 20, 24, 5, , 2
2020/6/30, 37, 16, 21, 8, , 2
2020/7/1, 27, 18, 27, 5, , 2
2020/5/2, 25, 15, 55, 11, , 4
2020/5/3, 44, 15, 42, 6, , 4
2020/5/4, 41, 15, 40, 9, , 2
2020/5/5, 35, 18, 31, 6, , 2
2020/5/6, 47, 12, 33, 4, , 1
2020/5/7, 18, 9, 38, 7, , 2
2020/5/8, 20, 13, 24, 8, , 3
2020/5/9, 33, 10, 34, 4, , 2
2020/5/10, 20, 10, 40, 8, , 3
2020/5/11, 27, 10, 35, 9, , 2
2020/5/12, 22, 12, 44, 10, , 3
2020/5/13, 24, 17, 38, 6, , 3
2020/5/14, 35, 15, 35, 2, , 2
2020/5/15, 33, 14, 38, 2, , 1
2020/5/16, 29, 15, 33, 5, , 3
2020/5/17, 36, 15, 26, 4, , 2
2020/5/18, 34, 13, 24, 2, , 2
2020/5/19, 23, 11, 29, 4, , 2
2020/5/20, 21, 6, 16, 2, , 1
2020/5/21, 10, 9, 30, 3, , 2
2020/5/22, 21, 15, 34, 4, , 2
