date, pm25, pm10, o3, so2, co
2020/7/2, 52, 29, , , 1
2020/7/3, 44, 22, , , 1
2020/7/4, 35, 31, , , 
2020/7/5, 50, 18, , , 
2020/7/6, 36, 17, , , 1
2020/7/7, 32, 21, , , 1
2020/7/8, 35, 16, , , 1
2020/7/9, 27, 53, , , 
2020/7/10, 66, 44, , , 
2020/7/11, 59, 33, , , 1
2020/7/12, 49, 28, , , 
2020/7/13, 44, 28, , , 1
2020/7/14, 45, 29, , , 1
2020/7/15, 50, 21, , , 1
2020/7/16, 38, 24, , , 1
2020/7/17, 38, 23, , , 
2020/7/18, 31, 13, , , 
2020/7/19, 22, 13, , , 
2020/7/20, 22, 17, , , 
2020/7/21, 25, 20, , , 
2020/7/22, 32, 16, , , 
2020/7/23, 27, 21, , , 
2020/7/24, 36, 19, , , 
2020/7/25, 31, 16, , , 
2020/7/26, 26, 12, , , 
2020/7/27, 22, , , , 1
2020/7/28, 18, , , , 
2020/6/3, 30, 17, , , 
2020/6/4, 30, 18, , , 1
2020/6/5, 32, 22, , , 1
2020/6/6, 38, 23, , , 1
2020/6/7, 43, 21, , , 
2020/6/8, 47, 19, , , 1
2020/6/9, 39, 16, , , 1
2020/6/10, 30, 17, , , 1
2020/6/11, 39, 16, , , 1
2020/6/12, 24, 21, , , 1
2020/6/13, 35, 14, , , 
2020/6/14, 26, 10, , , 1
2020/6/15, 17, 12, , , 
2020/6/16, 20, 16, , , 1
2020/6/17, 25, 18, , , 1
2020/6/18, 24, 11, , , 1
2020/6/19, 19, 14, , , 1
2020/6/20, 24, 15, , , 1
2020/6/21, 28, 10, , , 1
2020/6/22, 21, 16, , , 1
2020/6/23, 26, 25, , , 1
2020/6/24, 40, 35, , , 1
2020/6/25, 52, 40, , , 1
2020/6/26, 53, 19, , , 
2020/6/27, 29, 27, , , 
2020/6/28, 40, 28, , , 
2020/6/29, 42, 34, , , 
2020/6/30, 49, 42, , , 
2020/7/1, 53, 38, , , 1
2020/5/2, 24, 16, , , 1
2020/5/3, 30, 11, , , 1
2020/5/4, 20, 16, , , 1
2020/5/5, 23, 14, , , 1
2020/5/6, 22, 14, , , 1
2020/5/7, 25, 24, , , 1
2020/5/8, 33, 18, , , 1
2020/5/9, 27, 22, , , 1
2020/5/10, 45, 17, , , 1
2020/5/11, 42, 15, , , 1
2020/5/12, 24, 22, , , 1
2020/5/13, 28, 25, , , 1
2020/5/14, 35, 27, , , 
2020/5/15, 39, 18, , , 1
2020/5/16, 29, 8, , , 1
2020/5/17, 14, 14, , , 1
2020/5/18, 29, 21, , , 1
2020/5/19, 42, 19, , , 1
2020/5/20, 39, 26, , , 1
2020/5/21, 49, 32, , , 1
2020/5/22, 49, 19, , , 1
2020/5/23, 33, 17, , , 
2020/5/24, 28, 11, , , 1
2020/5/25, 21, 16, , , 1
2020/5/26, 31, 19, , , 1
2020/5/27, 40, 24, , , 1
2020/5/28, 43, 17, , , 1
2020/5/29, 31, 15, , , 
