date, pm25, pm10, o3, no2, so2, co
2020/7/2, 45, , 24, 3, , 1
2020/7/3, 40, , 31, 1, , 1
2020/7/4, 42, , 28, 2, 3, 1
2020/7/5, 67, , 28, 1, 1, 1
2020/7/6, 56, , 27, 1, , 1
2020/7/7, 43, , 24, 2, , 1
2020/7/8, 43, , 19, 1, 1, 1
2020/7/9, 46, , 18, 2, , 1
2020/7/10, 49, , 16, 1, , 1
2020/7/11, 28, , 22, 1, , 1
2020/7/12, 41, , 22, 1, , 1
2020/7/13, 46, , 25, 1, , 1
2020/7/14, 49, , 24, 1, , 1
2020/7/15, 40, , 24, 2, , 1
2020/7/16, 20, , 24, 1, , 1
2020/7/17, 18, , 24, 1, , 1
2020/7/18, 15, , 24, 1, , 1
2020/7/19, 18, , 24, , , 1
2020/7/20, 13, , 21, 1, , 1
2020/7/21, 13, , 24, 1, 1, 1
2020/7/22, 11, , 20, 1, , 1
2020/7/23, 13, , 31, 1, , 1
2020/7/24, 15, , 31, 1, , 1
2020/7/25, 33, , , , , 
2020/6/2, 33, , 27, 7, 1, 2
2020/6/3, 50, , 23, 7, 1, 2
2020/6/4, 57, , 28, 4, , 1
2020/6/5, 63, , 26, 1, , 1
2020/6/6, 39, , 27, 1, , 1
2020/6/7, 21, , 25, 1, , 1
2020/6/8, 23, , 23, 4, 1, 1
2020/6/9, 24, , 23, 6, 1, 2
2020/6/10, 33, , 14, 3, 1, 1
2020/6/11, 20, , 19, 2, , 1
2020/6/12, 22, , 23, 2, , 1
2020/6/13, 21, , 22, 1, , 1
2020/6/14, 18, , 20, 1, , 1
2020/6/15, 14, , 24, 2, , 1
2020/6/16, 22, , 24, 3, 1, 1
2020/6/17, 32, , 23, 7, 1, 2
2020/6/18, 30, , 26, 7, 1, 2
2020/6/19, 53, , 24, 2, , 1
2020/6/20, 33, , 21, 1, , 1
2020/6/21, 16, , 20, 1, , 1
2020/6/22, 21, , 23, 1, , 1
2020/6/23, 29, , 24, 2, , 1
2020/6/24, 21, , 21, 1, 1, 1
2020/6/25, 28, , 17, 1, , 1
2020/6/26, 18, , 20, 2, , 1
2020/6/27, 19, , 23, 1, , 1
