Year,Month,AQI
2014,1,127.0
2014,2,81.0
2014,3,89.0
2014,4,88.0
2014,5,87.0
2014,6,103.0
2014,7,72.0
2015,1,149.0
2015,2,112.0
2015,3,99.0
2015,4,87.0
2015,5,85.0
2015,6,80.0
2015,7,61.0
2016,1,107.0
2016,2,106.0
2016,3,84.0
2016,4,107.0
2016,5,101.0
2016,6,90.0
2016,7,78.0
2017,1,91.0
2017,2,86.0
2017,3,86.0
2017,4,86.0
2017,5,96.0
2017,6,99.0
2017,7,95.0
2018,1,126.0
2018,2,112.0
2018,3,89.0
2018,4,99.0
2018,5,79.0
2018,6,95.0
2018,7,91.0
2019,1,105.0
2019,2,70.0
2019,3,78.0
2019,4,97.0
2019,5,86.0
2019,6,101.0
2019,7,93.0
2020,1,88.0
2020,2,109.0
2020,3,73.0
2020,4,77.0
2020,5,86.0
2020,6,90.0
2020,7,99.0
