Year,Month,AQI
2014,1,187.0
2014,2,137.0
2014,3,103.0
2014,4,109.0
2014,5,94.0
2014,6,110.0
2014,7,123.0
2015,1,169.0
2015,2,140.0
2015,3,104.0
2015,4,103.0
2015,5,101.0
2015,6,105.0
2015,7,103.0
2016,1,132.0
2016,2,142.0
2016,3,99.0
2016,4,90.0
2016,5,83.0
2016,6,82.0
2016,7,92.0
2017,1,108.0
2017,2,99.0
2017,3,108.0
2017,4,81.0
2017,5,99.0
2017,6,86.0
2017,7,111.0
2018,1,152.0
2018,2,140.0
2018,3,89.0
2018,4,94.0
2018,5,88.0
2018,6,99.0
2018,7,125.0
2019,1,129.0
2019,2,96.0
2019,3,80.0
2019,4,92.0
2019,5,81.0
2019,6,101.0
2019,7,97.0
2020,1,142.0
2020,2,144.0
2020,3,82.0
2020,4,84.0
2020,5,81.0
2020,6,88.0
2020,7,95.0
