Year,Month,AQI
2014,1,155.0
2014,2,147.0
2014,3,137.0
2014,4,143.0
2014,5,149.0
2014,6,162.0
2014,7,157.0
2015,1,140.0
2015,2,147.0
2015,3,125.0
2015,4,145.0
2015,5,143.0
2015,6,155.0
2015,7,146.0
2016,1,137.0
2016,2,118.0
2016,3,131.0
2016,4,123.0
2016,5,125.0
2016,6,150.0
2016,7,143.0
2017,1,112.0
2017,2,110.0
2017,3,126.0
2017,4,115.0
2017,5,136.0
2017,6,149.0
2017,7,152.0
2018,1,141.0
2018,2,128.0
2018,3,119.0
2018,4,143.0
2018,5,134.0
2018,6,151.0
2018,7,144.0
2019,1,115.0
2019,2,94.0
2019,3,107.0
2019,4,125.0
2019,5,117.0
2019,6,140.0
2019,7,151.0
2020,1,134.0
2020,2,125.0
2020,3,92.0
2020,4,107.0
2020,5,124.0
2020,6,113.0
2020,7,138.0
