date, pm25, pm10, o3, no2, so2, co
2020/7/2, 30, 34, 46, 2, 2, 1
2020/7/3, 33, 31, 47, 3, 2, 1
2020/7/4, 32, 30, 50, 2, 2, 1
2020/7/5, 49, 25, 38, 2, 1, 1
2020/7/6, 45, 37, 48, 2, 1, 2
2020/7/7, 57, 26, 43, 2, 1, 1
2020/7/8, 30, 30, 49, 3, 1, 1
2020/7/9, 35, 30, 45, 4, 1, 1
2020/7/10, 26, 28, 46, 3, 1, 1
2020/7/11, 31, 30, 56, 4, 1, 1
2020/7/12, 29, 22, 52, 2, 1, 1
2020/7/13, 32, 27, 38, 2, 1, 1
2020/7/14, 29, 35, 45, 2, 1, 1
2020/7/15, 37, 36, 44, 3, 1, 1
2020/7/16, 42, 35, 47, 3, 1, 1
2020/7/17, 34, 33, 46, 2, 1, 1
2020/7/18, 24, 30, 45, 2, 1, 1
2020/7/19, 28, 26, 45, 2, , 1
2020/7/20, 25, 30, 44, 2, , 1
2020/7/21, 25, 32, 39, 3, , 1
2020/7/22, 28, 32, 44, 3, , 1
2020/7/23, 35, 31, 44, 3, 1, 1
2020/7/24, 23, , , , , 
2020/6/2, 28, 30, 40, 5, 1, 2
2020/6/3, 37, 36, 49, 8, 2, 2
2020/6/4, 48, 33, 51, 3, 1, 1
2020/6/5, 39, 42, 34, 1, 1, 1
2020/6/6, 37, 22, 31, 1, 1, 1
2020/6/7, 19, 17, 28, 1, , 1
2020/6/8, 16, 19, 32, 2, 1, 1
2020/6/9, 14, 26, 38, 4, 1, 1
2020/6/10, 19, 29, 44, 3, 1, 1
2020/6/11, 36, 37, 54, 3, 2, 1
2020/6/12, 40, 27, 30, 1, 1, 1
2020/6/13, 15, 12, 31, 1, , 1
2020/6/14, 11, 12, 29, 1, 1, 1
2020/6/15, 14, 17, 25, 1, 1, 1
2020/6/16, 15, 20, 33, 1, 1, 1
2020/6/17, 14, 25, 38, 3, 1, 1
2020/6/18, 27, 27, 42, 5, 1, 1
2020/6/19, 25, 32, 49, 4, 1, 1
2020/6/20, 33, 23, 45, 2, 1, 1
2020/6/21, 32, 18, 33, 2, 1, 1
2020/6/22, 26, 21, 35, 2, 1, 1
2020/6/23, 25, 28, 44, 3, 1, 1
2020/6/24, 37, 30, 45, 3, 1, 1
2020/6/25, 43, 34, 44, 3, 1, 1
2020/6/26, 49, 35, 56, 4, 2, 1
2020/6/27, 45, 37, 57, 3, 2, 1
2020/6/28, 42, 26, 41, 1, 1, 1
2020/6/29, 34, 32, 38, 2, 1, 1
2020/6/30, 36, 27, 38, 3, 1, 1
2020/7/1, 28, 31, 44, 4, 2, 1
2020/5/2, 19, 16, 24, 1, 1, 1
2020/5/3, 17, 10, 34, 1, , 1
2020/5/4, 16, 18, 40, 3, 1, 1
2020/5/5, 17, 26, 41, 3, 1, 2
2020/5/6, 25, 30, 38, 2, 1, 1
2020/5/7, 22, 39, 47, 6, 2, 2
2020/5/8, 35, 43, 56, 7, 2, 2
2020/5/9, 53, 41, 62, 5, 2, 2
2020/5/10, 56, 27, 45, 3, 1, 1
2020/5/11, 31, 22, 40, 1, 1, 1
2020/5/12, 21, 23, 29, 2, 1, 1
2020/5/13, 19, 17, 35, 1, 1, 1
2020/5/14, 15, 17, 31, 1, , 1
2020/5/15, 17, 17, 30, 1, 1, 1
2020/5/16, 18, 18, 35, 2, 1, 1
2020/5/17, 29, , 25, 1, 1, 1
2020/5/20, 16, 14, 34, 1, 1, 1
2020/5/21, 20, 18, 36, 3, 1, 1
2020/5/22, 26, 20, 37, 3, 1, 1
2020/5/23, 21, 20, 41, 3, , 1
2020/5/24, 21, 17, 37, 3, 1, 1
2020/5/25, 22, 25, 47, 5, 2, 2
2020/5/26, 40, 32, 51, 5, 2, 2
2020/5/27, 45, 29, 43, 4, 1, 1
2020/5/28, 43, 29, 53, 4, 2, 1
2020/5/29, 33, 36, 36, 4, 2, 1
2020/5/30, 30, 20, 23, 1, 1, 1
2020/5/31, 18, 16, 28, 1, 1, 1
2020/6/1, 21, 23, 34, 2, 1, 1
2020/4/2, 14, 12, 30, 3, , 1
2020/4/3, 19, 13, 30, 5, , 1
2020/4/4, 22, 11, 28, 1, , 1
2020/4/5, 17, 7, 21, 2, , 1
2020/4/6, 12, 2, 26, 3, , 1
2020/4/7, 11, 4, 27, 3, , 1
2020/4/8, 15, 8, 24, 3, , 1
2020/4/9, 20, 3, 25, 3, , 1
2020/4/10, 11, 8, 28, 6, , 2
2020/4/11, 26, 14, 27, 5, , 2
2020/4/12, 39, 18, 26, 5, , 2
2020/4/13, 45, 15, 25, 4, , 2
2020/4/14, 31, 23, 35, 7, 1, 2
2020/4/15, 39, 20, 35, 8, 1, 2
2020/4/16, 36, 24, 40, 5, 1, 2
2020/4/17, 39, 14, 25, 2, 1, 1
2020/4/18, 25, 13, 25, 2, , 1
2020/4/19, 22, 14, 27, 2, , 1
2020/4/20, 33, 11, 20, 3, , 1
2020/4/21, 25, 13, 28, 2, , 1
2020/4/22, 27, 21, 33, 4, 1, 1
2020/4/23, 41, 20, 35, 1, 1, 1
2020/4/24, 19, 24, 40, 4, 1, 2
2020/4/25, 35, 32, 39, 6, 1, 2
2020/4/26, 58, 15, 33, 2, 1, 1
2020/4/27, 25, 19, 34, 2, 1, 1
2020/4/28, 21, 27, 42, 5, 1, 2
2020/4/29, 42, 31, 40, 6, 1, 2
2020/4/30, 37, 25, 39, 1, 1, 1
2020/5/1, 13, 24, 41, 2, 1, 1
2020/3/2, 29, 26, 9, 12, , 5
2020/3/3, 51, 36, 31, 13, , 4
2020/3/4, 53, 38, 35, 15, 1, 4
2020/3/5, 55, 37, 36, 13, 1, 4
2020/3/6, 52, 34, 28, 7, , 2
2020/3/7, 49, 11, 22, 5, , 2
2020/3/8, 17, 12, 23, 5, , 2
2020/3/9, 24, 19, 25, 8, , 2
2020/3/10, 22, 19, 19, 6, , 2
2020/3/11, 30, 11, 26, 7, , 2
2020/3/12, 31, 18, 28, 10, , 3
2020/3/13, 39, 20, 26, 3, , 1
2020/3/14, 36, 11, 23, 1, , 1
2020/3/15, 16, 10, 24, 2, , 1
2020/3/16, 16, 2, 21, 4, , 1
2020/3/17, 11, 5, 27, 5, , 2
2020/3/18, 12, 6, 29, 4, , 2
2020/3/19, 16, 6, 25, 4, , 1
2020/3/20, 18, 9, 29, 7, , 2
2020/3/21, 17, 8, 24, 3, , 1
2020/3/22, 20, 9, 27, 5, , 1
2020/3/23, 22, 4, 27, 1, , 1
2020/3/24, 8, 7, 24, 1, , 1
2020/3/25, 15, 4, 27, 2, , 1
2020/3/26, 6, 5, 29, 3, , 1
2020/3/27, 16, 9, 27, 6, , 2
2020/3/28, 25, 14, 30, 3, , 2
2020/3/29, 33, 7, 30, 4, , 2
2020/3/30, 22, 11, 29, 6, , 2
2020/3/31, 27, 10, 25, 2, , 1
2020/4/1, 19, 9, 31, 1, , 1
2020/2/2, 85, 24, 23, 8, , 6
2020/2/3, 53, 15, 24, 8, , 3
2020/2/4, 23, 34, 24, 17, , 6
2020/2/5, 67, 41, 24, 20, , 7
2020/2/6, 77, 42, 26, 21, , 7
2020/2/7, 79, 43, 28, 22, 1, 7
2020/2/8, 75, 38, 35, 14, 1, 5
2020/2/9, 73, 25, 24, 9, , 3
2020/2/10, 43, 42, 20, 19, , 6
2020/2/11, 70, 39, 24, 20, , 6
2020/2/12, 59, 35, 29, 20, , 5
2020/2/13, 53, 34, 31, 16, , 5
2020/2/14, 55, 36, 28, 13, , 4
