Year,Month,AQI
2014,1,114.0
2014,2,114.0
2014,3,119.0
2014,4,109.0
2014,5,111.0
2014,6,114.0
2014,7,108.0
2015,1,123.0
2015,2,123.0
2015,3,105.0
2015,4,87.0
2015,5,130.0
2015,6,139.0
2015,7,140.0
2016,1,130.0
2016,2,124.0
2016,3,130.0
2016,4,121.0
2016,5,101.0
2016,6,108.0
2016,7,131.0
2017,1,118.0
2017,2,92.0
2017,3,90.0
2017,4,80.0
2017,5,57.0
2017,6,87.0
2017,7,111.0
2018,1,114.0
2018,2,99.0
2018,3,113.0
2018,4,99.0
2018,5,107.0
2018,6,111.0
2018,7,108.0
2019,1,101.0
2019,2,98.0
2019,3,109.0
2019,4,100.0
2019,5,125.0
2019,6,109.0
2019,7,115.0
2020,1,87.0
2020,2,89.0
2020,3,107.0
2020,4,96.0
2020,5,87.0
2020,6,103.0
2020,7,102.0
