date, pm25, pm10, o3, no2, so2, co
2020/7/2, 24, , , , , 
2020/7/3, 20, , , , , 
2020/7/4, 20, , , , , 
2020/7/5, 24, , , , , 
2020/7/6, 18, , , , , 
2020/7/7, 24, , , , , 
2020/7/8, 27, , , , , 
2020/7/9, 42, , , , , 
2020/7/10, 44, , , , , 
2020/7/11, 46, , , , , 
2020/7/13, 37, , , , , 
2020/7/14, 19, , , , , 
2020/7/15, 16, , , , , 
2020/7/16, 23, , , , , 
2020/7/17, 38, , , , , 
2020/7/18, 49, , , , , 
2020/7/19, 22, , , , , 
2020/7/20, 15, , , , , 
2020/7/21, 21, , , , , 
2020/7/22, 26, , , , , 
2020/7/23, 13, , , , , 
2020/7/24, 20, , , , , 
2020/7/25, 40, , , , , 
2020/7/26, 62, , , , , 
2020/7/27, 88, , , , , 
2020/6/2, 11, , , , , 
2020/6/3, 19, , , , , 
2020/6/4, 28, , , , , 
2020/6/5, 25, , , , , 
2020/6/6, 65, , , , , 
2020/6/7, 50, , , , , 
2020/6/8, 15, , , , , 
2020/6/9, 40, , , , , 
2020/6/10, 49, , , , , 
2020/6/11, 48, , , , , 
2020/6/12, 57, , , , , 
2020/6/13, 57, , , , , 
2020/6/14, 31, , , , , 
2020/6/15, 16, , , , , 
2020/6/16, 18, , , , , 
2020/6/17, 16, , , , , 
2020/6/18, 32, , , , , 
2020/6/19, 49, , , , , 
2020/6/20, 24, , , , , 
2020/6/21, 23, , , , , 
2020/6/22, 44, , , , , 
2020/6/23, 20, , , , , 
2020/6/24, 24, , , , , 
2020/6/25, 37, , , , , 
2020/6/26, 29, , , , , 
2020/6/27, 31, , , , , 
2020/6/28, 45, , , , , 
2020/6/29, 120, , , , , 
2020/6/30, 70, , , , , 
2020/7/1, 28, , , , , 
2020/5/2, 17, , , , , 
2020/5/3, 18, , , , , 
2020/5/4, 27, , , , , 
2020/5/5, 18, , , , , 
2020/5/6, 28, , , , , 
2020/5/7, 19, , , , , 
2020/5/8, 16, , , , , 
2020/5/9, 17, , , , , 
2020/5/10, 11, , , , , 
2020/5/11, 17, , , , , 
2020/5/12, 19, , , , , 
2020/5/13, 16, , , , , 
2020/5/14, 23, , , , , 
2020/5/15, 43, , , , , 
2020/5/16, 56, , , , , 
2020/5/17, 62, , , , , 
