,date,pm25,AQI,Levels of Concern
1084,2017-05-16,76,161.6,Unhealthy
1085,2017-05-17,69,158.0,Unhealthy
1086,2017-05-18,61,153.8,Unhealthy
1087,2017-05-19,67,156.9,Unhealthy
1088,2017-05-20,65,155.9,Unhealthy
1089,2017-05-21,55,149.0,Unhealthy for Sensitive Groups
1090,2017-05-22,35,99.2,Moderate
1091,2017-05-23,32,92.8,Moderate
1092,2017-05-24,26,80.2,Moderate
1093,2017-05-25,31,90.7,Moderate
1094,2017-05-26,24,76.0,Moderate
1095,2017-05-27,23,73.9,Moderate
1096,2017-05-28,32,92.8,Moderate
1097,2017-05-29,14,55.0,Moderate
1098,2017-05-30,14,55.0,Moderate
1099,2017-05-31,20,67.6,Moderate
1100,2017-06-01,27,82.3,Moderate
1101,2017-06-02,30,88.6,Moderate
1102,2017-06-03,31,90.7,Moderate
1103,2017-06-04,41,114.5,Unhealthy for Sensitive Groups
1104,2017-06-05,63,154.9,Unhealthy
1105,2017-06-06,69,158.0,Unhealthy
1106,2017-06-07,33,95.0,Moderate
1107,2017-06-08,33,95.0,Moderate
1108,2017-06-09,47,129.3,Unhealthy for Sensitive Groups
1109,2017-06-10,46,126.9,Unhealthy for Sensitive Groups
1110,2017-06-11,54,146.6,Unhealthy for Sensitive Groups
1111,2017-06-12,65,155.9,Unhealthy
1112,2017-06-13,48,131.8,Unhealthy for Sensitive Groups
1113,2017-06-14,58,152.3,Unhealthy
1114,2017-06-15,50,136.7,Unhealthy for Sensitive Groups
1115,2017-06-17,54,146.6,Unhealthy for Sensitive Groups
1116,2017-06-18,72,159.5,Unhealthy
1117,2017-06-19,82,164.7,Unhealthy
1118,2017-06-20,58,152.3,Unhealthy
1119,2017-06-21,40,112.1,Unhealthy for Sensitive Groups
1120,2017-06-22,33,95.0,Moderate
1121,2017-06-23,46,126.9,Unhealthy for Sensitive Groups
1122,2017-06-24,34,97.1,Moderate
1123,2017-06-25,25,78.1,Moderate
1124,2017-06-26,18,63.4,Moderate
1125,2017-06-27,19,65.5,Moderate
1126,2017-06-28,46,126.9,Unhealthy for Sensitive Groups
1127,2017-06-29,35,99.2,Moderate
1128,2017-06-30,29,86.5,Moderate
1129,2017-07-01,33,95.0,Moderate
998,2017-07-02,57,151.8,Unhealthy
999,2017-07-03,33,95.0,Moderate
1000,2017-07-04,29,86.5,Moderate
1001,2017-07-05,13,52.9,Moderate
1002,2017-07-06,18,63.4,Moderate
1003,2017-07-07,30,88.6,Moderate
1004,2017-07-08,20,67.6,Moderate
1005,2017-07-09,21,69.7,Moderate
1006,2017-07-10,12,50.0,Good
1007,2017-07-11,12,50.0,Good
1008,2017-07-12,14,55.0,Moderate
1009,2017-07-13,52,141.6,Unhealthy for Sensitive Groups
1010,2017-07-14,29,86.5,Moderate
1011,2017-07-15,19,65.5,Moderate
1012,2017-07-16,21,69.7,Moderate
1013,2017-07-17,50,136.7,Unhealthy for Sensitive Groups
1014,2017-07-18,11,45.8,Good
1015,2017-07-19,9,37.5,Good
1016,2017-07-20,23,73.9,Moderate
1017,2017-07-21,37,104.7,Unhealthy for Sensitive Groups
1018,2017-07-22,46,126.9,Unhealthy for Sensitive Groups
1019,2017-07-23,27,82.3,Moderate
1020,2017-07-24,11,45.8,Good
