Year,Month,AQI
2015,1,291.0
2015,2,250.0
2015,3,205.0
2015,4,193.0
2015,5,201.0
2015,6,189.0
2015,7,162.0
2016,1,374.0
2016,2,260.0
2016,3,206.0
2016,4,206.0
2016,5,209.0
2016,6,188.0
2016,7,176.0
2017,1,275.0
2017,2,229.0
2017,3,200.0
2017,4,205.0
2017,5,209.0
2017,6,184.0
2017,7,166.0
2018,1,331.0
2018,2,239.0
2018,3,206.0
2018,4,202.0
2018,5,203.0
2018,6,204.0
2018,7,177.0
2019,1,293.0
2019,2,257.0
2019,3,200.0
2019,4,202.0
2019,5,218.0
2019,6,193.0
2019,7,182.0
2020,1,267.0
2020,2,239.0
2020,3,187.0
2020,4,176.0
2020,5,186.0
2020,6,180.0
2020,7,169.0
