date, pm25, pm10, o3, no2, so2, co
2020/7/2, 38, 22, 16, 3, , 
2020/7/3, 38, 19, 19, 1, , 
2020/7/4, 42, 19, 22, 2, , 
2020/7/5, 34, 13, 30, 1, 1, 
2020/7/6, 30, 15, 33, 1, , 
2020/7/7, 25, 20, 25, 2, 1, 
2020/7/8, 38, 19, 25, 1, , 
2020/7/9, 30, 19, 26, 3, , 
2020/7/10, 38, 20, 31, 2, , 
2020/7/11, 46, 11, 24, 2, , 
2020/7/12, 9, 18, 22, 2, , 
2020/7/13, 38, 15, 30, 1, , 
2020/7/14, 25, 33, 31, 2, , 
2020/7/15, 76, 18, 31, 3, , 
2020/7/16, 34, 21, 30, 3, , 
2020/7/17, 34, 20, 26, 3, , 
2020/7/18, 42, 12, 29, 2, , 
2020/7/19, 25, 13, 32, 1, , 
2020/7/20, 13, 15, 29, 2, , 
2020/7/21, 30, 21, 26, 3, , 
2020/7/22, 38, 20, 28, 3, , 
2020/7/23, 38, , , , , 
2020/6/2, 34, 12, 24, 1, 1, 
2020/6/3, 30, 10, 22, 1, , 
2020/6/4, 25, 16, 25, 1, , 
2020/6/5, 42, 20, 26, , , 
2020/6/6, 25, 18, 18, 2, , 
2020/6/7, 30, 15, 19, 1, , 
2020/6/8, 30, 15, 20, 1, , 
2020/6/9, 21, 17, 22, 3, , 
2020/6/10, 25, 16, 27, , , 
2020/6/11, 25, 11, 20, 2, , 
2020/6/12, 21, 11, 19, 2, , 
2020/6/13, 21, 12, 18, 3, , 
2020/6/14, 25, 17, 20, 1, , 
2020/6/15, 21, 16, 18, 3, , 
2020/6/16, 25, 15, 20, 1, , 
2020/6/17, 30, 20, 18, 2, , 
2020/6/18, 34, 17, 19, 1, , 
2020/6/19, 21, 17, 17, 2, , 
2020/6/20, 30, 17, 22, 2, , 
2020/6/21, 34, 9, 25, 2, , 
2020/6/22, 25, 10, 28, 1, , 
2020/6/23, 30, 16, 30, 2, , 
2020/6/24, 42, 20, 30, 2, , 
2020/6/25, 34, 19, 25, 2, , 
2020/6/26, 34, 15, 24, 3, 1, 
2020/6/27, 34, 20, 27, 2, , 
2020/6/28, 38, 18, 22, 2, , 
2020/6/29, 42, 17, 19, 2, , 
2020/6/30, 38, 18, 19, 1, , 
2020/7/1, 30, 20, 17, 3, 2, 
2020/5/2, 21, 18, 19, 1, , 
2020/5/3, 30, 13, 18, 1, , 
2020/5/4, 30, 12, 28, 1, , 
2020/5/5, 30, 13, 24, 3, , 
2020/5/6, 30, 13, 19, 2, , 
2020/5/7, 30, 16, 30, 2, , 
2020/5/8, 50, 13, 25, 3, , 
2020/5/9, 30, 14, 25, 2, , 
2020/5/10, 42, 13, 26, 1, , 
2020/5/11, 38, 15, 24, 1, , 
2020/5/12, 34, 18, 21, 1, , 
2020/5/13, 25, 28, 23, 3, , 
2020/5/14, 61, 45, 22, 3, , 
2020/5/15, 61, 21, 24, 1, , 
2020/5/16, 34, 25, 22, 2, , 
2020/5/17, 61, 37, 24, 1, , 
2020/5/18, 46, 32, 17, 4, , 
2020/5/19, 57, 21, 24, 1, , 
2020/5/20, 38, 23, 24, 1, , 
2020/5/22, 55, 13, 29, 1, , 
2020/5/23, 42, 17, 24, 2, , 
2020/5/24, 38, 17, 23, 2, , 
2020/5/25, 34, 16, 25, 2, , 
2020/5/26, 42, 18, 26, 3, , 
2020/5/27, 46, 14, 27, 1, , 
2020/5/28, 34, 13, 28, 1, , 
2020/5/29, 34, 13, 16, 6, , 
2020/5/30, 25, 10, 21, 2, , 
2020/5/31, 30, 11, 22, 2, , 
2020/6/1, 34, 13, 21, 3, , 
2020/4/2, 38, 16, 27, 2, , 
2020/4/3, 50, 19, 26, 3, , 
2020/4/4, 57, 16, 28, 2, , 
2020/4/5, 57, 17, 28, 1, 1, 
2020/4/6, 59, 23, 29, 2, , 
2020/4/7, 65, 29, 26, 3, , 
2020/4/8, 72, 30, 27, 4, , 
2020/4/9, 78, 28, 26, 4, , 
2020/4/10, 70, 29, 25, 3, , 
2020/4/11, 74, 28, 25, 3, , 
2020/4/12, 74, 23, 25, 2, , 
2020/4/13, 68, 20, 26, 1, , 
2020/4/14, 63, 15, 19, 3, , 
2020/4/15, 55, 14, 25, 1, , 
2020/4/16, 38, 17, 21, 3, , 
2020/4/17, 42, , 20, 3, , 
2020/4/22, 46, 9, 12, 1, , 
2020/4/23, 25, 8, 18, 1, , 
2020/4/24, 17, 15, 22, 2, , 
2020/4/25, 50, 12, 22, 1, 1, 
2020/4/26, 38, 8, 20, 1, , 
2020/4/27, 25, 10, 19, 2, , 
2020/4/28, 34, 15, 19, 2, , 
2020/4/29, 25, 16, 22, 1, , 
2020/4/30, 21, 12, 19, 1, , 
2020/5/1, 25, 12, 23, , , 
2020/3/2, 30, , , , , 
2020/3/4, 34, 10, 19, 4, , 
2020/3/5, 25, 9, 18, 5, , 
2020/3/6, 25, 17, 24, , , 
2020/3/7, 21, 10, 19, 4, , 
2020/3/8, 30, 7, 23, 1, , 
2020/3/9, 21, 10, 21, 5, , 
2020/3/10, 30, 11, 24, 2, , 
2020/3/11, 38, 20, 18, 5, , 
2020/3/12, 53, 16, 18, 5, , 
2020/3/13, 53, 22, 15, 6, , 
2020/3/14, 57, 20, 16, 4, , 
2020/3/15, 46, 15, 22, 2, , 
2020/3/16, 53, 18, 22, 3, , 
2020/3/17, 55, 25, 19, 4, , 
2020/3/18, 65, 28, 20, 4, , 
2020/3/19, 76, 30, 24, 4, , 
2020/3/20, 82, 27, 23, 3, , 
2020/3/21, 78, 34, 21, 4, , 
2020/3/22, 85, 33, 23, 4, , 
2020/3/23, 82, 20, 25, 1, , 
2020/3/24, 68, 12, 23, 1, , 
2020/3/25, 42, 7, 23, 1, , 
2020/3/26, 25, 7, 18, 1, , 
2020/3/27, 21, 6, 17, 3, , 
2020/3/28, 17, 31, 15, 3, , 
2020/3/29, 50, 56, 18, 4, , 
2020/3/30, 65, 53, 19, 3, , 
2020/3/31, 61, 14, 19, 3, , 
2020/4/1, 46, 12, 28, 1, , 
2020/2/2, 72, 17, 11, 9, , 
2020/2/3, 53, 14, 13, 9, , 
2020/2/4, 34, 19, 20, 3, , 
2020/2/5, 42, , 25, 1, , 
2020/2/9, 82, 23, 19, 8, , 
2020/2/10, 68, 22, 21, 2, , 
2020/2/11, 34, 32, 17, 3, , 
2020/2/12, 42, 26, 14, 8, , 
2020/2/13, 53, 21, 15, 8, , 
2020/2/14, 50, 12, 22, 2, , 
2020/2/15, 30, 13, 22, 5, , 
2020/2/16, 42, 24, 17, 9, , 
2020/2/17, 68, 18, 15, 10, , 
2020/2/18, 55, 22, 13, 12, , 
2020/2/19, 57, 16, 13, 7, , 
2020/2/20, 50, 15, 19, 3, , 
2020/2/21, 50, 21, 19, 6, , 
2020/2/22, 57, 26, 17, 6, , 
2020/2/23, 65, 29, 16, 6, , 
2020/2/24, 70, 24, 15, 8, , 
2020/2/25, 57, 17, 20, , , 
2020/2/26, 38, 20, 24, 1, , 
2020/2/27, 46, 10, 22, 3, , 
2020/2/28, 17, 13, 24, 1, , 
2020/2/29, 30, 14, 20, 5, , 
2020/3/1, 34, 22, 24, 1, , 
2020/1/2, 70, 30, 14, 8, , 
2020/1/3, 85, 31, 13, 6, , 
2020/1/4, 87, 28, 12, 6, 1, 
2020/1/5, 80, 14, 17, 2, , 
2020/1/6, 53, 9, 23, , , 
2020/1/7, 30, 25, 14, 9, , 
2020/1/8, 70, 27, 17, 6, , 
2020/1/9, 74, 33, 13, 10, , 
2020/1/10, 89, 38, 11, 12, , 
2020/1/11, 97, 30, 15, 7, , 
2020/1/12, 82, 21, 19, 3, , 
2020/1/13, 63, 28, 12, 10, , 
2020/1/14, 74, 33, 14, 8, , 
2020/1/15, 87, 32, 16, 8, , 
2020/1/16, 85, 35, 12, 10, , 
2020/1/17, 91, 31, 14, 8, , 
2020/1/18, 82, 15, 15, 6, , 
2020/1/19, 46, 10, 15, 3, , 
2020/1/20, 30, 8, 18, 1, , 
2020/1/21, 30, 17, 16, 3, , 
2020/1/22, 59, 23, 13, 10, , 
2020/1/23, 68, 34, 12, 12, , 
2020/1/24, 97, 35, 11, 15, , 
2020/1/25, 97, 30, 19, 6, , 
2020/1/26, 59, 23, 15, 6, , 
2020/1/27, 59, 29, 14, 8, , 
2020/1/28, 59, 20, 23, 1, , 
2020/1/29, 25, 21, , , , 
2020/1/30, 34, 19, , , , 
2020/1/31, 38, 21, 13, 13, , 
2020/2/1, 46, 26, 8, 13, , 
2019/10/2, 30, 18, 18, 6, , 
2019/10/3, 38, 10, 20, 4, , 
2019/10/4, 30, 8, 24, 3, , 
2019/10/5, 21, 17, 18, 9, , 
2019/10/6, 34, 17, 18, 5, , 
2019/10/7, 38, 10, 19, 6, , 
2019/10/8, 30, 11, 25, 5, , 
2019/10/9, 25, 14, 19, 10, , 
2019/10/10, 38, 20, 15, 11, , 
2019/10/11, 34, 19, 17, 5, , 
2019/10/12, 42, 19, 18, 5, , 
