,date,pm25,AQI,Levels of Concern
453,2019-01-02,38.0,107.2,Unhealthy for Sensitive Groups
454,2019-01-03,50.0,136.7,Unhealthy for Sensitive Groups
455,2019-01-04,30.0,88.6,Moderate
456,2019-01-05,25.0,78.1,Moderate
457,2019-01-06,55.0,149.0,Unhealthy for Sensitive Groups
458,2019-01-07,70.0,158.5,Unhealthy
459,2019-01-08,91.0,169.3,Unhealthy
460,2019-01-09,85.0,166.2,Unhealthy
461,2019-01-10,57.0,151.8,Unhealthy
462,2019-01-11,30.0,88.6,Moderate
463,2019-01-12,25.0,78.1,Moderate
464,2019-01-13,50.0,136.7,Unhealthy for Sensitive Groups
465,2019-01-14,72.0,159.5,Unhealthy
466,2019-01-15,57.0,151.8,Unhealthy
467,2019-01-17,34.0,97.1,Moderate
468,2019-01-18,38.0,107.2,Unhealthy for Sensitive Groups
469,2019-01-19,21.0,69.7,Moderate
470,2019-01-20,50.0,136.7,Unhealthy for Sensitive Groups
471,2019-01-21,61.0,153.8,Unhealthy
472,2019-01-22,38.0,107.2,Unhealthy for Sensitive Groups
473,2019-01-23,38.0,107.2,Unhealthy for Sensitive Groups
474,2019-01-24,30.0,88.6,Moderate
475,2019-01-25,30.0,88.6,Moderate
476,2019-01-26,46.0,126.9,Unhealthy for Sensitive Groups
477,2019-01-27,50.0,136.7,Unhealthy for Sensitive Groups
478,2019-01-28,65.0,155.9,Unhealthy
479,2019-01-29,30.0,88.6,Moderate
480,2019-01-30,42.0,117.0,Unhealthy for Sensitive Groups
481,2019-01-31,42.0,117.0,Unhealthy for Sensitive Groups
482,2019-02-01,21.0,69.7,Moderate
483,2019-02-02,30.0,88.6,Moderate
484,2019-02-03,13.0,52.9,Moderate
485,2019-02-04,21.0,69.7,Moderate
486,2019-02-05,30.0,88.6,Moderate
487,2019-02-06,30.0,88.6,Moderate
488,2019-02-07,38.0,107.2,Unhealthy for Sensitive Groups
489,2019-02-08,50.0,136.7,Unhealthy for Sensitive Groups
490,2019-02-09,76.0,161.6,Unhealthy
491,2019-02-10,72.0,159.5,Unhealthy
492,2019-02-11,34.0,97.1,Moderate
493,2019-02-12,38.0,107.2,Unhealthy for Sensitive Groups
494,2019-02-13,42.0,117.0,Unhealthy for Sensitive Groups
495,2019-02-14,34.0,97.1,Moderate
