,date,pm25,AQI,Levels of Concern
164,2020-01-02,70.0,158.5,Unhealthy
165,2020-01-03,85.0,166.2,Unhealthy
166,2020-01-04,87.0,167.2,Unhealthy
167,2020-01-05,80.0,163.6,Unhealthy
168,2020-01-06,53.0,144.1,Unhealthy for Sensitive Groups
169,2020-01-07,30.0,88.6,Moderate
170,2020-01-08,70.0,158.5,Unhealthy
171,2020-01-09,74.0,160.5,Unhealthy
172,2020-01-10,89.0,168.3,Unhealthy
173,2020-01-11,97.0,172.4,Unhealthy
174,2020-01-12,82.0,164.7,Unhealthy
175,2020-01-13,63.0,154.9,Unhealthy
176,2020-01-14,74.0,160.5,Unhealthy
177,2020-01-15,87.0,167.2,Unhealthy
178,2020-01-16,85.0,166.2,Unhealthy
179,2020-01-17,91.0,169.3,Unhealthy
180,2020-01-18,82.0,164.7,Unhealthy
181,2020-01-19,46.0,126.9,Unhealthy for Sensitive Groups
182,2020-01-20,30.0,88.6,Moderate
183,2020-01-21,30.0,88.6,Moderate
184,2020-01-22,59.0,152.8,Unhealthy
185,2020-01-23,68.0,157.4,Unhealthy
186,2020-01-24,97.0,172.4,Unhealthy
187,2020-01-25,97.0,172.4,Unhealthy
188,2020-01-26,59.0,152.8,Unhealthy
189,2020-01-27,59.0,152.8,Unhealthy
190,2020-01-28,59.0,152.8,Unhealthy
191,2020-01-29,25.0,78.1,Moderate
192,2020-01-30,34.0,97.1,Moderate
193,2020-01-31,38.0,107.2,Unhealthy for Sensitive Groups
194,2020-02-01,46.0,126.9,Unhealthy for Sensitive Groups
138,2020-02-02,72.0,159.5,Unhealthy
139,2020-02-03,53.0,144.1,Unhealthy for Sensitive Groups
140,2020-02-04,34.0,97.1,Moderate
141,2020-02-05,42.0,117.0,Unhealthy for Sensitive Groups
142,2020-02-09,82.0,164.7,Unhealthy
143,2020-02-10,68.0,157.4,Unhealthy
144,2020-02-11,34.0,97.1,Moderate
145,2020-02-12,42.0,117.0,Unhealthy for Sensitive Groups
146,2020-02-13,53.0,144.1,Unhealthy for Sensitive Groups
147,2020-02-14,50.0,136.7,Unhealthy for Sensitive Groups
148,2020-02-15,30.0,88.6,Moderate
149,2020-02-16,42.0,117.0,Unhealthy for Sensitive Groups
150,2020-02-17,68.0,157.4,Unhealthy
151,2020-02-18,55.0,149.0,Unhealthy for Sensitive Groups
152,2020-02-19,57.0,151.8,Unhealthy
153,2020-02-20,50.0,136.7,Unhealthy for Sensitive Groups
154,2020-02-21,50.0,136.7,Unhealthy for Sensitive Groups
155,2020-02-22,57.0,151.8,Unhealthy
156,2020-02-23,65.0,155.9,Unhealthy
157,2020-02-24,70.0,158.5,Unhealthy
158,2020-02-25,57.0,151.8,Unhealthy
159,2020-02-26,38.0,107.2,Unhealthy for Sensitive Groups
160,2020-02-27,46.0,126.9,Unhealthy for Sensitive Groups
161,2020-02-28,17.0,61.3,Moderate
162,2020-02-29,30.0,88.6,Moderate
163,2020-03-01,34.0,97.1,Moderate
108,2020-03-02,30.0,88.6,Moderate
109,2020-03-04,34.0,97.1,Moderate
110,2020-03-05,25.0,78.1,Moderate
111,2020-03-06,25.0,78.1,Moderate
112,2020-03-07,21.0,69.7,Moderate
113,2020-03-08,30.0,88.6,Moderate
114,2020-03-09,21.0,69.7,Moderate
115,2020-03-10,30.0,88.6,Moderate
116,2020-03-11,38.0,107.2,Unhealthy for Sensitive Groups
117,2020-03-12,53.0,144.1,Unhealthy for Sensitive Groups
118,2020-03-13,53.0,144.1,Unhealthy for Sensitive Groups
119,2020-03-14,57.0,151.8,Unhealthy
120,2020-03-15,46.0,126.9,Unhealthy for Sensitive Groups
121,2020-03-16,53.0,144.1,Unhealthy for Sensitive Groups
