,date,pm25,AQI,Levels of Concern
985,2018-01-01,72.0,159.5,Unhealthy
808,2018-01-02,87.0,167.2,Unhealthy
809,2018-01-03,30.0,88.6,Moderate
810,2018-01-04,46.0,126.9,Unhealthy for Sensitive Groups
811,2018-01-05,38.0,107.2,Unhealthy for Sensitive Groups
812,2018-01-06,55.0,149.0,Unhealthy for Sensitive Groups
813,2018-01-07,38.0,107.2,Unhealthy for Sensitive Groups
814,2018-01-08,38.0,107.2,Unhealthy for Sensitive Groups
815,2018-01-09,30.0,88.6,Moderate
816,2018-01-10,25.0,78.1,Moderate
817,2018-01-11,38.0,107.2,Unhealthy for Sensitive Groups
818,2018-01-12,55.0,149.0,Unhealthy for Sensitive Groups
819,2018-01-13,30.0,88.6,Moderate
820,2018-01-14,42.0,117.0,Unhealthy for Sensitive Groups
821,2018-01-15,63.0,154.9,Unhealthy
822,2018-01-16,30.0,88.6,Moderate
823,2018-01-17,17.0,61.3,Moderate
824,2018-01-18,21.0,69.7,Moderate
825,2018-01-19,21.0,69.7,Moderate
826,2018-01-20,25.0,78.1,Moderate
827,2018-01-21,34.0,97.1,Moderate
828,2018-01-22,34.0,97.1,Moderate
829,2018-01-23,50.0,136.7,Unhealthy for Sensitive Groups
830,2018-01-24,59.0,152.8,Unhealthy
831,2018-01-25,55.0,149.0,Unhealthy for Sensitive Groups
832,2018-01-26,78.0,162.6,Unhealthy
833,2018-01-27,76.0,161.6,Unhealthy
834,2018-01-28,72.0,159.5,Unhealthy
835,2018-01-29,82.0,164.7,Unhealthy
836,2018-01-30,85.0,166.2,Unhealthy
837,2018-01-31,80.0,163.6,Unhealthy
838,2018-02-01,76.0,161.6,Unhealthy
839,2018-02-02,38.0,107.2,Unhealthy for Sensitive Groups
840,2018-02-03,38.0,107.2,Unhealthy for Sensitive Groups
841,2018-02-04,25.0,78.1,Moderate
842,2018-02-05,25.0,78.1,Moderate
843,2018-02-06,25.0,78.1,Moderate
844,2018-02-07,46.0,126.9,Unhealthy for Sensitive Groups
845,2018-02-08,30.0,88.6,Moderate
846,2018-02-09,42.0,117.0,Unhealthy for Sensitive Groups
847,2018-02-10,53.0,144.1,Unhealthy for Sensitive Groups
848,2018-02-11,46.0,126.9,Unhealthy for Sensitive Groups
849,2018-02-12,55.0,149.0,Unhealthy for Sensitive Groups
850,2018-02-13,65.0,155.9,Unhealthy
851,2018-02-14,42.0,117.0,Unhealthy for Sensitive Groups
852,2018-02-15,46.0,126.9,Unhealthy for Sensitive Groups
853,2018-02-16,46.0,126.9,Unhealthy for Sensitive Groups
854,2018-02-17,70.0,158.5,Unhealthy
855,2018-02-18,87.0,167.2,Unhealthy
856,2018-02-19,63.0,154.9,Unhealthy
857,2018-02-20,34.0,97.1,Moderate
858,2018-02-21,46.0,126.9,Unhealthy for Sensitive Groups
859,2018-02-22,25.0,78.1,Moderate
860,2018-02-23,34.0,97.1,Moderate
861,2018-02-24,25.0,78.1,Moderate
862,2018-02-25,30.0,88.6,Moderate
863,2018-02-26,30.0,88.6,Moderate
864,2018-02-27,53.0,144.1,Unhealthy for Sensitive Groups
865,2018-02-28,72.0,159.5,Unhealthy
866,2018-03-01,70.0,158.5,Unhealthy
867,2018-03-02,72.0,159.5,Unhealthy
868,2018-03-03,46.0,126.9,Unhealthy for Sensitive Groups
869,2018-03-04,21.0,69.7,Moderate
870,2018-03-05,25.0,78.1,Moderate
871,2018-03-06,25.0,78.1,Moderate
872,2018-03-07,21.0,69.7,Moderate
873,2018-03-08,13.0,52.9,Moderate
874,2018-03-09,25.0,78.1,Moderate
