,date,pm25,AQI,Levels of Concern
1343,2017-01-02,147.0,198.2,Unhealthy
1163,2017-01-03,74.0,160.5,Unhealthy
1164,2017-01-04,30.0,88.6,Moderate
1165,2017-01-05,46.0,126.9,Unhealthy for Sensitive Groups
1166,2017-01-06,46.0,126.9,Unhealthy for Sensitive Groups
1167,2017-01-07,13.0,52.9,Moderate
1168,2017-01-08,25.0,78.1,Moderate
1169,2017-01-09,59.0,152.8,Unhealthy
1170,2017-01-10,34.0,97.1,Moderate
1171,2017-01-11,53.0,144.1,Unhealthy for Sensitive Groups
1172,2017-01-12,89.0,168.3,Unhealthy
1173,2017-01-13,80.0,163.6,Unhealthy
1174,2017-01-15,46.0,126.9,Unhealthy for Sensitive Groups
1175,2017-01-16,30.0,88.6,Moderate
1176,2017-01-17,17.0,61.3,Moderate
1177,2017-01-18,17.0,61.3,Moderate
1178,2017-01-19,21.0,69.7,Moderate
1179,2017-01-20,38.0,107.2,Unhealthy for Sensitive Groups
1180,2017-01-21,55.0,149.0,Unhealthy for Sensitive Groups
1181,2017-01-22,50.0,136.7,Unhealthy for Sensitive Groups
1182,2017-01-23,42.0,117.0,Unhealthy for Sensitive Groups
1183,2017-01-24,50.0,136.7,Unhealthy for Sensitive Groups
1184,2017-01-25,55.0,149.0,Unhealthy for Sensitive Groups
1185,2017-01-26,57.0,151.8,Unhealthy
1186,2017-01-27,78.0,162.6,Unhealthy
1187,2017-01-28,99.0,173.4,Unhealthy
1188,2017-01-29,89.0,168.3,Unhealthy
1189,2017-01-30,82.0,164.7,Unhealthy
1190,2017-01-31,102.0,175.0,Unhealthy
1191,2017-02-01,82.0,164.7,Unhealthy
1192,2017-02-02,30.0,88.6,Moderate
1193,2017-02-03,46.0,126.9,Unhealthy for Sensitive Groups
1194,2017-02-04,34.0,97.1,Moderate
1195,2017-02-05,34.0,97.1,Moderate
1196,2017-02-06,25.0,78.1,Moderate
1197,2017-02-07,25.0,78.1,Moderate
1198,2017-02-08,21.0,69.7,Moderate
1199,2017-02-09,46.0,126.9,Unhealthy for Sensitive Groups
1200,2017-02-10,34.0,97.1,Moderate
1201,2017-02-11,30.0,88.6,Moderate
1202,2017-02-12,57.0,151.8,Unhealthy
1203,2017-02-13,63.0,154.9,Unhealthy
1204,2017-02-14,68.0,157.4,Unhealthy
1205,2017-02-15,63.0,154.9,Unhealthy
1206,2017-02-16,80.0,163.6,Unhealthy
1207,2017-02-17,87.0,167.2,Unhealthy
1208,2017-02-18,78.0,162.6,Unhealthy
1209,2017-02-19,25.0,78.1,Moderate
1210,2017-02-20,30.0,88.6,Moderate
1211,2017-02-21,55.0,149.0,Unhealthy for Sensitive Groups
1212,2017-02-22,65.0,155.9,Unhealthy
1213,2017-02-23,65.0,155.9,Unhealthy
1214,2017-02-24,63.0,154.9,Unhealthy
1215,2017-02-25,46.0,126.9,Unhealthy for Sensitive Groups
1216,2017-02-26,30.0,88.6,Moderate
1217,2017-02-27,30.0,88.6,Moderate
1218,2017-02-28,59.0,152.8,Unhealthy
1219,2017-03-01,55.0,149.0,Unhealthy for Sensitive Groups
1220,2017-03-02,25.0,78.1,Moderate
1221,2017-03-03,42.0,117.0,Unhealthy for Sensitive Groups
1222,2017-03-04,53.0,144.1,Unhealthy for Sensitive Groups
1223,2017-03-05,30.0,88.6,Moderate
1224,2017-03-06,17.0,61.3,Moderate
1225,2017-03-07,25.0,78.1,Moderate
1226,2017-03-08,17.0,61.3,Moderate
1227,2017-03-09,17.0,61.3,Moderate
1228,2017-03-10,25.0,78.1,Moderate
1229,2017-03-11,30.0,88.6,Moderate
1230,2017-03-12,13.0,52.9,Moderate
1231,2017-03-13,38.0,107.2,Unhealthy for Sensitive Groups
1232,2017-03-14,57.0,151.8,Unhealthy
1233,2017-03-15,55.0,149.0,Unhealthy for Sensitive Groups
1234,2017-03-16,65.0,155.9,Unhealthy
1235,2017-03-17,55.0,149.0,Unhealthy for Sensitive Groups
1236,2017-03-18,65.0,155.9,Unhealthy
1237,2017-03-19,42.0,117.0,Unhealthy for Sensitive Groups
1238,2017-03-20,42.0,117.0,Unhealthy for Sensitive Groups
1239,2017-03-21,46.0,126.9,Unhealthy for Sensitive Groups
