date, pm25, pm10, no2
2020/7/2, 13, 14, 9
2020/7/3, 17, 13, 9
2020/7/4, 13, 8, 7
2020/7/5, 11, 7, 6
2020/7/6, 14, 10, 5
2020/7/7, 12, 5, 7
2020/7/8, 7, 5, 14
2020/7/9, 9, 7, 10
2020/7/10, 9, 8, 7
2020/7/11, 14, 5, 6
2020/7/12, 11, 5, 7
2020/7/13, 9, 6, 8
2020/7/14, 11, 10, 9
2020/7/15, 18, 10, 6
2020/7/16, 22, 12, 12
2020/7/17, 22, 13, 12
2020/7/18, 16, 10, 6
2020/7/19, 16, 12, 6
2020/7/20, 24, 14, 7
2020/7/21, 27, 8, 7
2020/7/22, 9, 8, 6
2020/7/23, 6, 7, 6
2020/7/24, 6, 6, 8
2020/7/25, 6, 5, 6
2020/7/26, 8, 6, 4
2020/7/27, 12, 6, 3
2020/7/28, 14, , 
2020/6/2, 14, 19, 6
2020/6/3, 18, 19, 9
2020/6/4, 21, 24, 12
2020/6/5, 35, 17, 8
2020/6/6, 34, 6, 5
2020/6/7, 17, 8, 3
2020/6/8, 12, 14, 12
2020/6/9, 19, 16, 14
2020/6/10, 22, 12, 11
2020/6/11, 12, 14, 9
2020/6/12, 12, 15, 10
2020/6/13, 20, 13, 7
2020/6/14, 19, 12, 8
2020/6/15, 17, 19, 13
2020/6/16, 22, 13, 15
2020/6/17, 27, 13, 15
2020/6/18, 30, 18, 15
2020/6/19, 36, 14, 8
2020/6/20, 31, 14, 4
2020/6/21, 33, 10, 6
2020/6/22, 20, 13, 9
2020/6/23, 20, 16, 12
2020/6/24, 21, 23, 13
2020/6/25, 28, 24, 13
2020/6/26, 29, 19, 10
2020/6/27, 27, 20, 8
2020/6/28, 33, 20, 8
2020/6/29, 40, 29, 12
2020/6/30, 39, 22, 12
2020/7/1, 22, 10, 10
2020/5/2, 29, 11, 6
2020/5/3, 20, 8, 9
2020/5/4, 15, 7, 11
2020/5/5, 14, 14, 14
2020/5/6, 16, 29, 17
2020/5/7, 20, 23, 11
2020/5/8, 14, 21, 10
2020/5/9, 28, 11, 5
2020/5/10, 13, 16, 3
2020/5/11, 24, 6, 6
2020/5/12, 7, 10, 11
2020/5/13, 10, 4, 11
2020/5/14, 7, 16, 15
2020/5/15, 15, 13, 10
2020/5/16, 12, 10, 6
2020/5/17, 10, 9, 5
2020/5/18, 9, 9, 12
2020/5/19, 10, 12, 12
2020/5/20, 12, 12, 11
2020/5/21, 13, 10, 7
2020/5/22, 12, 15, 9
2020/5/23, 20, 8, 4
2020/5/24, 17, 12, 4
2020/5/25, 28, 15, 12
2020/5/26, 26, 21, 14
2020/5/27, 25, 17, 11
2020/5/28, 23, 12, 9
2020/5/29, 13, 14, 12
2020/5/30, 16, 12, 6
2020/5/31, 13, 9, 5
2020/6/1, 8, 19, 12
2020/4/2, 19, 41, 9
2020/4/3, 23, 14, 6
2020/4/4, 11, 22, 9
2020/4/5, 16, 19, 10
2020/4/6, 24, 31, 10
2020/4/7, 50, 34, 14
2020/4/8, 57, 28, 12
2020/4/9, 30, 32, 9
2020/4/10, 23, 13, 6
2020/4/11, 11, 12, 7
2020/4/12, 13, 11, 3
2020/4/13, 22, 8, 2
2020/4/14, 8, 13, 5
2020/4/15, 11, 15, 9
2020/4/16, 12, 20, 5
2020/4/17, 14, 13, 8
2020/4/18, 10, 11, 5
2020/4/19, 13, 13, 7
2020/4/20, 13, 27, 14
2020/4/21, 20, 20, 12
2020/4/22, 15, 21, 11
2020/4/23, 15, 24, 11
2020/4/24, 17, 14, 11
2020/4/25, 12, 10, 7
2020/4/26, 9, 10, 4
2020/4/27, 12, 12, 7
2020/4/28, 16, 3, 13
2020/4/29, 9, 14, 16
2020/4/30, 19, 13, 9
2020/5/1, 29, 11, 2
2020/3/2, 21, 12, 14
2020/3/3, 22, 13, 19
2020/3/4, 40, 5, 13
2020/3/5, 16, 4, 15
2020/3/6, 11, 16, 22
2020/3/7, 18, 23, 16
2020/3/8, 45, 25, 6
2020/3/9, 53, 26, 11
2020/3/10, 45, 12, 13
2020/3/11, 34, 10, 10
2020/3/12, 18, 15, 14
2020/3/13, 18, 30, 10
2020/3/14, 16, 32, 8
2020/3/15, 16, 22, 3
2020/3/16, 22, 20, 13
2020/3/17, 23, 31, 11
2020/3/18, 24, 13, 13
2020/3/19, 18, 37, 12
2020/3/20, 22, 27, 10
2020/3/21, 21, 23, 7
2020/3/22, 17, 18, 11
2020/3/23, 16, 34, 11
2020/3/24, 20, 37, 11
2020/3/25, 30, 55, 9
2020/3/26, 49, 52, 13
2020/3/27, 57, 41, 15
2020/3/28, 61, 29, 7
2020/3/29, 44, 13, 5
2020/3/30, 12, 20, 7
2020/3/31, 13, 39, 13
2020/4/1, 21, 30, 13
2020/2/2, 13, 6, 6
2020/2/3, 7, 20, 21
2020/2/4, 18, 22, 25
2020/2/5, 30, 12, 15
2020/2/6, 11, 26, 21
2020/2/7, 22, 14, 23
2020/2/8, 26, 5, 9
2020/2/9, 17, 13, 4
2020/2/10, 40, 6, 8
2020/2/11, 15, 19, 13
2020/2/12, 22, 13, 14
2020/2/13, 17, 24, 21
2020/2/14, 16, 37, 30
2020/2/15, 29, 8, 9
2020/2/16, 24, 6, 5
2020/2/17, 19, 11, 8
2020/2/18, 15, 16, 8
2020/2/19, 20, 21, 16
2020/2/20, 20, 11, 14
2020/2/21, 17, 17, 10
2020/2/22, 23, 6, 4
2020/2/23, 8, 16, 6
2020/2/24, 15, 39, 20
2020/2/25, 23, 19, 19
2020/2/26, 21, 18, 10
2020/2/27, 15, 8, 13
2020/2/28, 16, 23, 23
2020/2/29, 19, 9, 15
2020/3/1, 23, 7, 5
2020/1/2, 17, 15, 9
2020/1/3, 38, 14, 9
2020/1/4, 20, 14, 6
2020/1/5, 13, 18, 10
2020/1/6, 14, 5, 14
2020/1/7, 12, 9, 12
2020/1/8, 22, 15, 10
2020/1/9, 22, 17, 26
2020/1/10, 33, 17, 28
2020/1/11, 40, 13, 12
2020/1/12, 28, 4, 9
2020/1/13, 10, 9, 23
2020/1/14, 21, 10, 8
2020/1/15, 29, 7, 10
2020/1/16, 14, 19, 14
2020/1/17, 25, 16, 10
2020/1/18, 42, 19, 8
2020/1/19, 47, 14, 13
2020/1/20, 12, 14, 15
2020/1/21, 16, 18, 19
2020/1/22, 17, 32, 14
2020/1/23, 18, 35, 27
2020/1/24, 24, 5, 24
2020/1/25, 12, 25, 17
2020/1/26, 21, 6, 11
2020/1/27, 13, 15, 14
2020/1/28, 39, 12, 7
2020/1/29, 39, 6, 10
2020/1/30, 20, 8, 20
2020/1/31, 24, 6, 15
2020/2/1, 17, 4, 8
2019/10/2, 13, 6, 17
2019/10/3, 10, 4, 11
2019/10/4, 10, 6, 18
2019/10/5, 13, 5, 13
2019/10/6, 11, 5, 13
2019/10/7, 10, 11, 21
2019/10/8, 14, 14, 29
2019/10/9, 23, 10, 26
2019/10/10, 21, 11, 22
2019/10/11, 28, 9, 16
2019/10/12, 21, 9, 12
2019/10/13, 20, 9, 15
2019/10/14, 17, 7, 17
2019/10/15, 16, 7, 17
2019/10/16, 19, 10, 16
2019/10/17, 27, 8, 15
2019/10/18, 22, 11, 14
2019/10/19, 29, 10, 8
2019/10/20, 27, 11, 16
2019/10/21, 30, 8, 14
2019/10/22, 21, 11, 12
2019/10/23, 26, 13, 20
2019/10/24, 23, 17, 14
2019/10/25, 40, 23, 10
2019/10/26, 57, 8, 15
2019/10/27, 18, 5, 13
2019/10/28, 16, 7, 17
2019/10/29, 11, 10, 16
2019/10/30, 11, 18, 26
2019/10/31, 20, 23, 23
2019/11/1, 21, 17, 26
2019/11/2, 29, 23, 18
2019/11/3, 57, 20, 12
2019/11/4, 53, 16, 19
2019/11/5, 16, 14, 14
2019/11/6, 15, 18, 20
2019/11/7, 18, 16, 25
2019/11/8, 29, 13, 18
