,date,pm25
0,2020-07-02,13.0
1,2020-07-03,17.0
2,2020-07-04,13.0
3,2020-07-05,11.0
4,2020-07-06,14.0
5,2020-07-07,12.0
6,2020-07-08,7.0
7,2020-07-09,9.0
8,2020-07-10,9.0
9,2020-07-11,14.0
10,2020-07-12,11.0
11,2020-07-13,9.0
12,2020-07-14,11.0
13,2020-07-15,18.0
14,2020-07-16,22.0
15,2020-07-17,22.0
16,2020-07-18,16.0
17,2020-07-19,16.0
18,2020-07-20,24.0
19,2020-07-21,27.0
20,2020-07-22,9.0
21,2020-07-23,6.0
22,2020-07-24,6.0
23,2020-07-25,6.0
24,2020-07-26,8.0
25,2020-07-27,12.0
26,2020-07-28,14.0
27,2020-06-02,14.0
28,2020-06-03,18.0
29,2020-06-04,21.0
30,2020-06-05,35.0
31,2020-06-06,34.0
32,2020-06-07,17.0
33,2020-06-08,12.0
34,2020-06-09,19.0
35,2020-06-10,22.0
36,2020-06-11,12.0
37,2020-06-12,12.0
38,2020-06-13,20.0
39,2020-06-14,19.0
40,2020-06-15,17.0
41,2020-06-16,22.0
42,2020-06-17,27.0
43,2020-06-18,30.0
44,2020-06-19,36.0
45,2020-06-20,31.0
46,2020-06-21,33.0
47,2020-06-22,20.0
48,2020-06-23,20.0
49,2020-06-24,21.0
50,2020-06-25,28.0
51,2020-06-26,29.0
52,2020-06-27,27.0
53,2020-06-28,33.0
54,2020-06-29,40.0
55,2020-06-30,39.0
56,2020-07-01,22.0
57,2020-05-02,29.0
58,2020-05-03,20.0
59,2020-05-04,15.0
60,2020-05-05,14.0
61,2020-05-06,16.0
62,2020-05-07,20.0
63,2020-05-08,14.0
64,2020-05-09,28.0
65,2020-05-10,13.0
66,2020-05-11,24.0
67,2020-05-12,7.0
68,2020-05-13,10.0
69,2020-05-14,7.0
70,2020-05-15,15.0
71,2020-05-16,12.0
72,2020-05-17,10.0
73,2020-05-18,9.0
74,2020-05-19,10.0
75,2020-05-20,12.0
76,2020-05-21,13.0
77,2020-05-22,12.0
78,2020-05-23,20.0
79,2020-05-24,17.0
80,2020-05-25,28.0
81,2020-05-26,26.0
82,2020-05-27,25.0
83,2020-05-28,23.0
84,2020-05-29,13.0
85,2020-05-30,16.0
86,2020-05-31,13.0
87,2020-06-01,8.0
88,2020-04-02,19.0
89,2020-04-03,23.0
90,2020-04-04,11.0
91,2020-04-05,16.0
92,2020-04-06,24.0
93,2020-04-07,50.0
94,2020-04-08,57.0
95,2020-04-09,30.0
96,2020-04-10,23.0
97,2020-04-11,11.0
98,2020-04-12,13.0
99,2020-04-13,22.0
100,2020-04-14,8.0
101,2020-04-15,11.0
102,2020-04-16,12.0
103,2020-04-17,14.0
104,2020-04-18,10.0
105,2020-04-19,13.0
106,2020-04-20,13.0
107,2020-04-21,20.0
108,2020-04-22,15.0
109,2020-04-23,15.0
110,2020-04-24,17.0
111,2020-04-25,12.0
112,2020-04-26,9.0
113,2020-04-27,12.0
114,2020-04-28,16.0
115,2020-04-29,9.0
116,2020-04-30,19.0
117,2020-05-01,29.0
118,2020-03-02,21.0
119,2020-03-03,22.0
120,2020-03-04,40.0
121,2020-03-05,16.0
122,2020-03-06,11.0
123,2020-03-07,18.0
124,2020-03-08,45.0
125,2020-03-09,53.0
126,2020-03-10,45.0
127,2020-03-11,34.0
128,2020-03-12,18.0
129,2020-03-13,18.0
130,2020-03-14,16.0
131,2020-03-15,16.0
132,2020-03-16,22.0
133,2020-03-17,23.0
134,2020-03-18,24.0
135,2020-03-19,18.0
136,2020-03-20,22.0
137,2020-03-21,21.0
