,date,pm25,AQI,Levels of Concern
838,2018-01-17,201.0,251.0,Very Unhealthy
839,2018-01-18,193.0,243.1,Very Unhealthy
840,2018-01-19,210.0,260.0,Very Unhealthy
841,2018-01-20,226.0,275.8,Very Unhealthy
842,2018-01-21,255.0,305.5,Hazardous
843,2018-01-22,217.0,266.9,Very Unhealthy
844,2018-01-23,178.0,228.3,Very Unhealthy
845,2018-01-24,192.0,242.1,Very Unhealthy
846,2018-01-25,148.0,198.7,Unhealthy
847,2018-01-26,117.0,182.7,Unhealthy
848,2018-01-27,122.0,185.3,Unhealthy
849,2018-01-28,145.0,197.2,Unhealthy
850,2018-01-29,153.0,203.5,Very Unhealthy
851,2018-01-30,169.0,219.3,Very Unhealthy
852,2018-01-31,166.0,216.4,Very Unhealthy
853,2018-02-01,161.0,211.4,Very Unhealthy
854,2018-02-02,175.0,225.3,Very Unhealthy
855,2018-02-03,152.0,202.5,Very Unhealthy
856,2018-02-04,96.0,171.9,Unhealthy
857,2018-02-05,122.0,185.3,Unhealthy
858,2018-02-06,149.0,199.2,Unhealthy
859,2018-02-07,166.0,216.4,Very Unhealthy
860,2018-02-08,179.0,229.2,Very Unhealthy
861,2018-02-09,175.0,225.3,Very Unhealthy
862,2018-02-10,179.0,229.2,Very Unhealthy
863,2018-02-11,205.0,255.0,Very Unhealthy
864,2018-02-12,194.0,244.1,Very Unhealthy
865,2018-02-13,110.0,179.1,Unhealthy
866,2018-02-14,157.0,207.4,Very Unhealthy
867,2018-02-15,174.0,224.3,Very Unhealthy
868,2018-02-16,176.0,226.3,Very Unhealthy
869,2018-02-17,180.0,230.2,Very Unhealthy
870,2018-02-18,172.0,222.3,Very Unhealthy
871,2018-02-19,173.0,223.3,Very Unhealthy
872,2018-02-20,122.0,185.3,Unhealthy
873,2018-02-21,82.0,164.7,Unhealthy
874,2018-02-22,150.0,199.7,Unhealthy
875,2018-02-23,171.0,221.3,Very Unhealthy
876,2018-02-24,152.0,202.5,Very Unhealthy
877,2018-02-25,131.0,189.9,Unhealthy
878,2018-02-26,170.0,220.3,Very Unhealthy
879,2018-02-27,169.0,219.3,Very Unhealthy
880,2018-02-28,120.0,184.3,Unhealthy
881,2018-03-01,122.0,185.3,Unhealthy
882,2018-03-02,157.0,207.4,Very Unhealthy
883,2018-03-03,159.0,209.4,Very Unhealthy
884,2018-03-04,167.0,217.4,Very Unhealthy
885,2018-03-05,127.0,187.9,Unhealthy
886,2018-03-06,96.0,171.9,Unhealthy
887,2018-03-07,117.0,182.7,Unhealthy
888,2018-03-08,99.0,173.4,Unhealthy
889,2018-03-09,129.0,188.9,Unhealthy
890,2018-03-10,164.0,214.4,Very Unhealthy
891,2018-03-11,146.0,197.7,Unhealthy
892,2018-03-12,139.0,194.1,Unhealthy
893,2018-03-13,149.0,199.2,Unhealthy
894,2018-03-14,165.0,215.4,Very Unhealthy
895,2018-03-15,152.0,202.5,Very Unhealthy
896,2018-03-16,145.0,197.2,Unhealthy
897,2018-03-17,139.0,194.1,Unhealthy
898,2018-03-18,167.0,217.4,Very Unhealthy
899,2018-03-19,95.0,171.4,Unhealthy
900,2018-03-20,146.0,197.7,Unhealthy
901,2018-03-21,127.0,187.9,Unhealthy
902,2018-03-22,130.0,189.4,Unhealthy
903,2018-03-23,160.0,210.4,Very Unhealthy
904,2018-03-24,154.0,204.5,Very Unhealthy
905,2018-03-25,151.0,201.5,Very Unhealthy
906,2018-03-26,143.0,196.1,Unhealthy
907,2018-03-27,150.0,199.7,Unhealthy
908,2018-03-28,140.0,194.6,Unhealthy
909,2018-03-29,153.0,203.5,Very Unhealthy
910,2018-03-30,157.0,207.4,Very Unhealthy
911,2018-03-31,175.0,225.3,Very Unhealthy
912,2018-04-01,227.0,276.8,Very Unhealthy
748,2018-04-02,189.0,239.2,Very Unhealthy
749,2018-04-03,165.0,215.4,Very Unhealthy
750,2018-04-04,156.0,206.5,Very Unhealthy
751,2018-04-05,145.0,197.2,Unhealthy
752,2018-04-06,101.0,174.5,Unhealthy
753,2018-04-07,108.0,178.1,Unhealthy
754,2018-04-08,94.0,170.9,Unhealthy
755,2018-04-09,133.0,191.0,Unhealthy
756,2018-04-10,139.0,194.1,Unhealthy
757,2018-04-11,158.0,208.4,Very Unhealthy
758,2018-04-12,166.0,216.4,Very Unhealthy
759,2018-04-13,163.0,213.4,Very Unhealthy
760,2018-04-14,108.0,178.1,Unhealthy
761,2018-04-15,100.0,174.0,Unhealthy
762,2018-04-16,162.0,212.4,Very Unhealthy
763,2018-04-17,167.0,217.4,Very Unhealthy
764,2018-04-18,158.0,208.4,Very Unhealthy
765,2018-04-19,159.0,209.4,Very Unhealthy
766,2018-04-20,150.0,199.7,Unhealthy
767,2018-04-21,211.0,261.0,Very Unhealthy
768,2018-04-22,134.0,191.5,Unhealthy
769,2018-04-23,130.0,189.4,Unhealthy
770,2018-04-24,79.0,163.1,Unhealthy
771,2018-04-25,142.0,195.6,Unhealthy
