,date,pm25,AQI,Levels of Concern
175,2020-01-02,136.0,192.5,Unhealthy
176,2020-01-03,165.0,215.4,Very Unhealthy
177,2020-01-04,182.0,232.2,Very Unhealthy
178,2020-01-05,194.0,244.1,Very Unhealthy
179,2020-01-06,165.0,215.4,Very Unhealthy
180,2020-01-07,70.0,158.5,Unhealthy
181,2020-01-08,71.0,159.0,Unhealthy
182,2020-01-09,129.0,188.9,Unhealthy
183,2020-01-10,71.0,159.0,Unhealthy
184,2020-01-11,105.0,176.5,Unhealthy
185,2020-01-12,119.0,183.8,Unhealthy
186,2020-01-13,163.0,213.4,Very Unhealthy
187,2020-01-14,145.0,197.2,Unhealthy
188,2020-01-15,187.0,237.2,Very Unhealthy
189,2020-01-16,177.0,227.3,Very Unhealthy
190,2020-01-17,159.0,209.4,Very Unhealthy
191,2020-01-18,142.0,195.6,Unhealthy
192,2020-01-19,158.0,208.4,Very Unhealthy
193,2020-01-20,184.0,234.2,Very Unhealthy
194,2020-01-21,186.0,236.2,Very Unhealthy
195,2020-01-22,176.0,226.3,Very Unhealthy
196,2020-01-23,173.0,223.3,Very Unhealthy
197,2020-01-24,174.0,224.3,Very Unhealthy
198,2020-01-25,116.0,182.2,Unhealthy
199,2020-01-26,131.0,189.9,Unhealthy
200,2020-01-27,104.0,176.0,Unhealthy
201,2020-01-28,137.0,193.0,Unhealthy
202,2020-01-29,154.0,204.5,Very Unhealthy
203,2020-01-30,154.0,204.5,Very Unhealthy
204,2020-01-31,153.0,203.5,Very Unhealthy
205,2020-02-01,168.0,218.3,Very Unhealthy
146,2020-02-02,164.0,214.4,Very Unhealthy
147,2020-02-03,160.0,210.4,Very Unhealthy
148,2020-02-04,166.0,216.4,Very Unhealthy
149,2020-02-05,166.0,216.4,Very Unhealthy
150,2020-02-06,184.0,234.2,Very Unhealthy
151,2020-02-07,122.0,185.3,Unhealthy
152,2020-02-08,81.0,164.2,Unhealthy
153,2020-02-09,93.0,170.3,Unhealthy
154,2020-02-10,109.0,178.6,Unhealthy
155,2020-02-11,141.0,195.1,Unhealthy
156,2020-02-12,113.0,180.7,Unhealthy
157,2020-02-13,105.0,176.5,Unhealthy
158,2020-02-14,105.0,176.5,Unhealthy
159,2020-02-15,101.0,174.5,Unhealthy
160,2020-02-16,83.0,165.2,Unhealthy
161,2020-02-17,69.0,158.0,Unhealthy
162,2020-02-18,72.0,159.5,Unhealthy
163,2020-02-19,89.0,168.3,Unhealthy
164,2020-02-20,100.0,174.0,Unhealthy
165,2020-02-21,128.0,188.4,Unhealthy
166,2020-02-22,140.0,194.6,Unhealthy
167,2020-02-23,144.0,196.6,Unhealthy
168,2020-02-24,128.0,188.4,Unhealthy
169,2020-02-25,131.0,189.9,Unhealthy
170,2020-02-26,160.0,210.4,Very Unhealthy
171,2020-02-27,147.0,198.2,Unhealthy
172,2020-02-28,123.0,185.8,Unhealthy
173,2020-02-29,66.0,156.4,Unhealthy
174,2020-03-01,83.0,165.2,Unhealthy
115,2020-03-02,111.0,179.6,Unhealthy
116,2020-03-03,106.0,177.0,Unhealthy
117,2020-03-04,93.0,170.3,Unhealthy
118,2020-03-05,124.0,186.3,Unhealthy
119,2020-03-06,155.0,205.5,Very Unhealthy
120,2020-03-07,146.0,197.7,Unhealthy
121,2020-03-08,130.0,189.4,Unhealthy
122,2020-03-09,115.0,181.7,Unhealthy
123,2020-03-10,146.0,197.7,Unhealthy
124,2020-03-11,138.0,193.6,Unhealthy
125,2020-03-12,138.0,193.6,Unhealthy
126,2020-03-13,153.0,203.5,Very Unhealthy
127,2020-03-14,157.0,207.4,Very Unhealthy
