,,Month,Avg AQI_15,Avg AQI_16,Avg AQI_17,Avg AQI_18,Avg AQI_19,Avg AQI_20,Unnamed: 0
Atlanta,0,1,123.0,130.0,118.0,114.0,101.0,87.0,
Atlanta,1,2,123.0,124.0,92.0,99.0,98.0,89.0,
Atlanta,2,3,105.0,130.0,90.0,113.0,109.0,107.0,
Atlanta,3,4,87.0,121.0,80.0,99.0,100.0,96.0,
Atlanta,4,5,130.0,101.0,57.0,107.0,125.0,87.0,
Atlanta,5,6,139.0,108.0,87.0,111.0,109.0,103.0,
Atlanta,6,7,140.0,131.0,111.0,108.0,115.0,102.0,
Fresno,0,1,169.0,132.0,108.0,152.0,129.0,142.0,
Fresno,1,2,140.0,142.0,99.0,140.0,96.0,144.0,
Fresno,2,3,104.0,99.0,108.0,89.0,80.0,82.0,
Fresno,3,4,103.0,90.0,81.0,94.0,92.0,84.0,
Fresno,4,5,101.0,83.0,99.0,88.0,81.0,81.0,
Fresno,5,6,105.0,82.0,86.0,99.0,101.0,88.0,
Fresno,6,7,103.0,92.0,111.0,125.0,97.0,95.0,
Los Angeles,0,1,140.0,137.0,112.0,141.0,115.0,134.0,
Los Angeles,1,2,147.0,118.0,110.0,128.0,94.0,125.0,
Los Angeles,2,3,125.0,131.0,126.0,119.0,107.0,92.0,
Los Angeles,3,4,145.0,123.0,115.0,143.0,125.0,107.0,
Los Angeles,4,5,143.0,125.0,136.0,134.0,117.0,124.0,
Los Angeles,5,6,155.0,150.0,149.0,151.0,140.0,113.0,
Los Angeles,6,7,146.0,143.0,152.0,144.0,151.0,138.0,
Melbourne,0,5,,,107.4,104.74666666666668,75.82666666666668,81.3935483870968,
Melbourne,1,6,,,118.35517241379308,112.98666666666666,87.48000000000002,100.64,
Melbourne,2,7,,,80.93333333333334,86.07391304347826,76.46249999999998,82.74347826086958,
Melbourne,3,1,,,,107.27333333333334,105.41724137931033,124.83999999999996,
Melbourne,4,2,,,,95.91923076923077,101.96296296296292,95.72142857142856,
Melbourne,5,3,,,,90.241935483871,100.78,74.92857142857143,
Melbourne,6,4,,,,114.25666666666665,82.75555555555556,77.80000000000003,
Mexico City,0,Jan,,,176.0,166.0,162.0,149.0,
Mexico City,1,Feb,,,167.0,161.0,155.0,144.0,
Mexico City,2,March,,,170.0,165.0,160.0,161.0,
Mexico City,3,April,,,167.0,163.0,168.0,162.0,
Mexico City,4,May,,,172.0,157.0,172.0,162.0,
Mexico City,5,June,,,152.0,141.0,140.0,149.0,
Mexico City,6,July,,,150.0,153.0,153.0,141.0,
Miami,0,1,98.0,93.0,101.0,94.0,,108.0,
Miami,1,2,108.0,96.0,132.0,96.0,,96.0,
Miami,2,3,114.0,112.0,,103.0,,94.0,
Miami,3,4,116.0,106.0,,100.0,,107.0,
Miami,4,5,112.0,101.0,147.0,97.0,,93.0,
Miami,5,6,118.0,101.0,,109.0,,96.0,
Miami,6,7,131.0,115.0,,,,106.0,
Mumbai,0,1,,209.0,209.0,205.0,200.0,184.0,
Mumbai,1,2,,182.0,197.0,213.0,191.0,183.0,
Mumbai,2,3,,177.0,191.0,192.0,168.0,160.0,
Mumbai,3,4,,164.0,177.0,173.0,157.0,154.0,
Mumbai,4,5,,163.0,164.0,,145.0,176.0,
Mumbai,5,6,,161.0,153.0,,135.0,111.0,
Mumbai,6,7,,167.0,150.0,,140.0,94.0,
New Dehli,0,1,291.0,374.0,275.0,331.0,293.0,267.0,
New Dehli,1,2,250.0,260.0,229.0,239.0,257.0,239.0,
New Dehli,2,3,205.0,206.0,200.0,206.0,200.0,187.0,
